Modality,Annotation Size,DICE
unet_shuffle_inception_no_progressive,181.0,3.5034372525330506e-05
unet_shuffle_inception_no_progressive,210.5,1.239500044220237e-08
unet_shuffle_inception_no_progressive,185.0,2.7818874544889183e-08
unet_shuffle_inception_no_progressive,135.5,6.079126852060765e-08
unet_shuffle_inception_no_progressive,166.5,6.127484183185474e-07
unet_shuffle_inception_no_progressive,176.75,1.5774316142818367e-06
unet_shuffle_inception_no_progressive,136.75,6.318926109104713e-07
unet_shuffle_inception_no_progressive,116.5,3.271465469598027e-07
unet_shuffle_inception_no_progressive,89.25,0.0008089905598667302
unet_shuffle_inception_no_progressive,52.5,1.2567812985316107e-06
unet_shuffle_inception_no_progressive,40.5,0.011774349395125137
unet_shuffle_inception_no_progressive,78.0,2.276496021054875e-08
unet_shuffle_inception_no_progressive,112.0,1.4114930541782217e-07
unet_shuffle_inception_no_progressive,122.0,1.7811954736539562e-05
unet_shuffle_inception_no_progressive,134.0,9.883472735500033e-09
unet_shuffle_inception_no_progressive,150.0,3.081552382233421e-05
unet_shuffle_inception_no_progressive,180.0,4.2540188717839583e-10
unet_shuffle_inception_no_progressive,186.0,8.978955763865556e-08
unet_shuffle_inception_no_progressive,202.0,1.2808722374411498e-10
unet_shuffle_inception_no_progressive,194.0,4.785871240967108e-11
unet_shuffle_inception_no_progressive,214.0,1.2870596334196971e-11
unet_shuffle_inception_no_progressive,54.5,7.08243979757557e-06
unet_shuffle_inception_no_progressive,69.25,0.08122129120269603
unet_shuffle_inception_no_progressive,83.25,2.096290015874835e-05
unet_shuffle_inception_no_progressive,69.0,5.840318526825529e-06
unet_shuffle_inception_no_progressive,38.0,0.000626995959794482
unet_shuffle_inception_no_progressive,54.0,0.3619815643791622
unet_shuffle_inception_no_progressive,95.5,0.3066224205599284
unet_shuffle_inception_no_progressive,161.0,0.27767436705037557
unet_shuffle_inception_no_progressive,314.5,0.8064715303069141
unet_shuffle_inception_no_progressive,351.0,0.8164773952290405
unet_shuffle_inception_no_progressive,389.75,0.8040965589220412
unet_shuffle_inception_no_progressive,247.714285714,2.938150615621221e-07
unet_shuffle_inception_no_progressive,240.75,0.0269434631878383
unet_shuffle_inception_no_progressive,237.555555556,0.0806345820696342
unet_shuffle_inception_no_progressive,242.1,0.8189822154491259
unet_shuffle_inception_no_progressive,304.181818182,0.7698851547670907
unet_shuffle_inception_no_progressive,297.909090909,1.3202545350043504e-06
unet_shuffle_inception_no_progressive,355.727272727,0.6260761381261969
unet_shuffle_inception_no_progressive,311.636363636,7.242888130127574e-09
unet_shuffle_inception_no_progressive,284.181818182,0.5255449221623885
unet_shuffle_inception_no_progressive,219.272727273,0.4560895944722745
unet_shuffle_inception_no_progressive,143.363636364,0.5376535153004974
unet_shuffle_inception_no_progressive,127.285714286,0.1679536388405469
unet_shuffle_inception_no_progressive,67.4285714286,0.0013343211172504
unet_shuffle_inception_no_progressive,58.5714285714,0.3984313632021122
unet_shuffle_inception_no_progressive,88.5,3.4398276307373644e-06
unet_shuffle_inception_no_progressive,35.0,0.009501215232887416
unet_shuffle_inception_no_progressive,10.0,2.0413891566127077e-05
unet_shuffle_inception_no_progressive,51.5,0.0003610624322254
unet_shuffle_inception_no_progressive,86.0,0.2682217005703421
unet_shuffle_inception_no_progressive,83.0,0.3942870364555006
unet_shuffle_inception_no_progressive,82.0,0.27279590332621717
unet_shuffle_inception_no_progressive,57.0,0.23970278196014932
unet_shuffle_inception_no_progressive,15.0,5.8060256566387774e-05
unet_shuffle_inception_no_progressive,20.0,0.02675166036065967
unet_shuffle_inception_no_progressive,22.0,0.0009273082010938732
unet_shuffle_inception_no_progressive,49.3333333333,9.572148517717507e-07
unet_shuffle_inception_no_progressive,61.2,5.1941545864434476e-15
unet_shuffle_inception_no_progressive,48.0,1.1102278434020501e-07
unet_shuffle_inception_no_progressive,44.3333333333,2.395593798818716e-06
unet_shuffle_inception_no_progressive,130.0,0.631236842425031
unet_shuffle_inception_no_progressive,195.0,0.41438126746171816
unet_shuffle_inception_no_progressive,275.0,0.7814914512436083
unet_shuffle_inception_no_progressive,249.0,0.304885486599446
unet_shuffle_inception_no_progressive,57.25,0.4327920561371262
unet_shuffle_inception_no_progressive,179.0,0.6134112247751136
unet_shuffle_inception_no_progressive,194.5,0.36778321159149874
unet_shuffle_inception_no_progressive,4.0,0.01837731287493502
unet_shuffle_inception_no_progressive,11.0,5.511352473762568e-05
unet_shuffle_inception_no_progressive,31.0,0.015462550639225116
unet_shuffle_inception_no_progressive,55.6666666667,9.698595263020768e-06
unet_shuffle_inception_no_progressive,76.6666666667,2.1600249974564445e-05
unet_shuffle_inception_no_progressive,95.3333333333,4.98727998591959e-05
unet_shuffle_inception_no_progressive,94.5,0.0003920441966684
unet_shuffle_inception_no_progressive,80.5,0.22400006962096602
unet_shuffle_inception_no_progressive,69.5,0.0006312738960596
unet_shuffle_inception_no_progressive,53.0,0.00028099340095151434
unet_shuffle_inception_no_progressive,41.5,0.00036944400304824825
unet_shuffle_inception_no_progressive,24.5,0.28082637260485044
unet_shuffle_inception_no_progressive,49.5,1.8407489035766002e-06
unet_shuffle_inception_no_progressive,53.5,5.887463749023844e-06
unet_shuffle_inception_no_progressive,87.0,0.1924026701682093
unet_shuffle_inception_no_progressive,2.0,6.844431035551959e-05
unet_shuffle_inception_no_progressive,3.0,9.222177495217562e-06
unet_shuffle_inception_no_progressive,9.0,0.0004872983413165829
unet_shuffle_inception_no_progressive,92.0,5.840447946245122e-05
unet_shuffle_inception_no_progressive,88.0,2.144849486241157e-06
unet_shuffle_inception_no_progressive,116.0,0.23976152026976918
unet_shuffle_inception_no_progressive,64.0,1.112875507687225e-06
unet_shuffle_inception_no_progressive,37.0,0.08385049417163515
unet_shuffle_inception_no_progressive,25.0,0.0295069538959967
unet_shuffle_inception_no_progressive,8.0,0.0015386510632710347
unet_shuffle_inception_no_progressive,220.25,2.7410921883322094e-07
unet_shuffle_inception_no_progressive,434.5,4.408038338045634e-06
unet_shuffle_inception_no_progressive,464.25,0.0114489298001576
unet_shuffle_inception_no_progressive,356.5,0.2299656068446974
unet_shuffle_inception_no_progressive,132.25,0.1730680125039425
unet_shuffle_inception_no_progressive,86.5,9.213743757735708e-08
unet_shuffle_inception_no_progressive,119.0,0.00019643049551711103
unet_shuffle_inception_no_progressive,112.5,1.1813004842516963e-06
unet_shuffle_inception_no_progressive,140.0,2.04502175079681e-12
unet_shuffle_inception_no_progressive,29.0,0.041536480703459513
unet_shuffle_inception_no_progressive,51.0,0.15184788233258978
unet_shuffle_inception_no_progressive,131.0,3.3260039244665194e-11
unet_shuffle_inception_no_progressive,212.25,3.312589722703525e-13
unet_shuffle_inception_no_progressive,260.0,1.429928948454586e-16
unet_shuffle_inception_no_progressive,341.25,1.2601655871189223e-11
unet_shuffle_inception_no_progressive,378.75,2.220702782225821e-09
unet_shuffle_inception_no_progressive,400.5,7.668642176661126e-09
unet_shuffle_inception_no_progressive,429.25,3.1094596716654835e-08
unet_shuffle_inception_no_progressive,454.75,1.0480550397271745e-07
unet_shuffle_inception_no_progressive,457.5,3.4509673572908065e-07
unet_shuffle_inception_no_progressive,447.0,6.050214520116068e-07
unet_shuffle_inception_no_progressive,432.25,2.219987624890006e-06
unet_shuffle_inception_no_progressive,400.0,3.4366391142251257e-06
unet_shuffle_inception_no_progressive,367.75,2.065059929291264e-06
unet_shuffle_inception_no_progressive,305.0,0.006175792970793807
unet_shuffle_inception_no_progressive,213.5,1.4448463872515398e-12
unet_shuffle_inception_no_progressive,109.5,3.196987198338028e-15
unet_shuffle_inception_no_progressive,5.0,2.5530156868455065e-06
unet_shuffle_inception_no_progressive,16.5,0.002231009060561075
unet_shuffle_inception_no_progressive,11.5,0.000165593755936245
