Modality,Annotation Size,BCE_loss
unet_shuffle_inception_no_progressive,166.5,0.012817828916
unet_shuffle_inception_no_progressive,176.75,0.0105617884547
unet_shuffle_inception_no_progressive,136.75,0.00865003839135
unet_shuffle_inception_no_progressive,116.5,0.00394865637645
unet_shuffle_inception_no_progressive,89.25,0.002955331699925
unet_shuffle_inception_no_progressive,52.5,0.0032715710694899997
unet_shuffle_inception_no_progressive,40.5,0.00195628684014
unet_shuffle_inception_no_progressive,78.0,0.00661426084116
unet_shuffle_inception_no_progressive,112.0,0.010564262513095
unet_shuffle_inception_no_progressive,122.0,0.007919047726315
unet_shuffle_inception_no_progressive,134.0,0.0115209072828
unet_shuffle_inception_no_progressive,150.0,0.007177940453403333
unet_shuffle_inception_no_progressive,180.0,0.017284438014
unet_shuffle_inception_no_progressive,186.0,0.010821057599985
unet_shuffle_inception_no_progressive,202.0,0.0204184390604
unet_shuffle_inception_no_progressive,194.0,0.0201325174421
unet_shuffle_inception_no_progressive,214.0,0.0233048982918
unet_shuffle_inception_no_progressive,54.5,0.00301621516701
unet_shuffle_inception_no_progressive,69.25,0.002040213148575
unet_shuffle_inception_no_progressive,83.25,0.00342209567316
unet_shuffle_inception_no_progressive,69.0,0.00358954013791
unet_shuffle_inception_no_progressive,38.0,0.002842528163454
unet_shuffle_inception_no_progressive,54.0,0.00143504440639022
unet_shuffle_inception_no_progressive,95.5,0.002345467379202
unet_shuffle_inception_no_progressive,161.0,0.006597365058637
unet_shuffle_inception_no_progressive,314.5,0.000838370528072
unet_shuffle_inception_no_progressive,351.0,0.000819778302684
unet_shuffle_inception_no_progressive,389.75,0.00142872612923
unet_shuffle_inception_no_progressive,247.714285714,0.0054132132791
unet_shuffle_inception_no_progressive,240.75,0.0063767847605
unet_shuffle_inception_no_progressive,237.555555556,0.00843568798155
unet_shuffle_inception_no_progressive,242.1,0.000839555461425
unet_shuffle_inception_no_progressive,304.181818182,0.00146570347715
unet_shuffle_inception_no_progressive,297.909090909,0.0171620734036
unet_shuffle_inception_no_progressive,355.727272727,0.00505752069876
unet_shuffle_inception_no_progressive,311.636363636,0.02252407372
unet_shuffle_inception_no_progressive,284.181818182,0.00518132327124
unet_shuffle_inception_no_progressive,219.272727273,0.00557638145983
unet_shuffle_inception_no_progressive,143.363636364,0.0021548520308
unet_shuffle_inception_no_progressive,127.285714286,0.00324151245877
unet_shuffle_inception_no_progressive,67.4285714286,0.00238778535277
unet_shuffle_inception_no_progressive,58.5714285714,0.000384872080758
unet_shuffle_inception_no_progressive,88.5,0.0010383852059
unet_shuffle_inception_no_progressive,35.0,0.0020759858792493333
unet_shuffle_inception_no_progressive,10.0,0.0006723995195765714
unet_shuffle_inception_no_progressive,51.5,0.00264379987493
unet_shuffle_inception_no_progressive,86.0,0.003069786544073
unet_shuffle_inception_no_progressive,83.0,0.002322470929359
unet_shuffle_inception_no_progressive,82.0,0.002948634384665
unet_shuffle_inception_no_progressive,57.0,0.0008479368116245
unet_shuffle_inception_no_progressive,15.0,0.0008508692833582308
unet_shuffle_inception_no_progressive,20.0,0.0011234512437825
unet_shuffle_inception_no_progressive,22.0,0.0013858084639656251
unet_shuffle_inception_no_progressive,49.3333333333,0.00338766339701
unet_shuffle_inception_no_progressive,61.2,0.00956435594708
unet_shuffle_inception_no_progressive,48.0,0.006614502402945
unet_shuffle_inception_no_progressive,44.3333333333,0.0025800368748600004
unet_shuffle_inception_no_progressive,130.0,0.000507788266987
unet_shuffle_inception_no_progressive,195.0,0.0396755993424525
unet_shuffle_inception_no_progressive,275.0,0.000773517065682
