Modality,Annotation Size,TP
unet_shuffle_inception_no_progressive,176.75,0.000152838765644
unet_shuffle_inception_no_progressive,136.75,4.73061736557e-05
unet_shuffle_inception_no_progressive,116.5,1.20858921946e-05
unet_shuffle_inception_no_progressive,89.25,0.03368745697843007
unet_shuffle_inception_no_progressive,52.5,5.3493111920551e-05
unet_shuffle_inception_no_progressive,40.5,0.2982114678222948
unet_shuffle_inception_no_progressive,78.0,9.605681050587e-07
unet_shuffle_inception_no_progressive,112.0,3.17611412583775e-05
unet_shuffle_inception_no_progressive,122.0,0.0010873566581900375
unet_shuffle_inception_no_progressive,134.0,6.62345769342e-07
unet_shuffle_inception_no_progressive,150.0,0.00224729496820594
unet_shuffle_inception_no_progressive,180.0,3.83229092904e-08
unet_shuffle_inception_no_progressive,186.0,2.3902822077192997e-06
unet_shuffle_inception_no_progressive,202.0,1.29415269612e-08
unet_shuffle_inception_no_progressive,194.0,4.66506255847e-09
unet_shuffle_inception_no_progressive,214.0,1.39106381969e-09
unet_shuffle_inception_no_progressive,54.5,0.0001874382542155
unet_shuffle_inception_no_progressive,69.25,3.9596905122143777
unet_shuffle_inception_no_progressive,83.25,0.00082454533549
unet_shuffle_inception_no_progressive,69.0,0.00020749865961999998
unet_shuffle_inception_no_progressive,38.0,0.013323707720016422
unet_shuffle_inception_no_progressive,54.0,17.816928475560143
unet_shuffle_inception_no_progressive,95.5,30.2776503432429
unet_shuffle_inception_no_progressive,161.0,57.459354255970446
unet_shuffle_inception_no_progressive,314.5,228.847625732
unet_shuffle_inception_no_progressive,351.0,246.261413574
unet_shuffle_inception_no_progressive,389.75,335.778015137
unet_shuffle_inception_no_progressive,247.714285714,5.7176923292e-05
unet_shuffle_inception_no_progressive,240.75,6.39169740677
unet_shuffle_inception_no_progressive,237.555555556,24.9958171844
unet_shuffle_inception_no_progressive,242.1,355.01361084
unet_shuffle_inception_no_progressive,304.181818182,383.310302734
unet_shuffle_inception_no_progressive,297.909090909,0.000530896300916
unet_shuffle_inception_no_progressive,355.727272727,343.068023682
unet_shuffle_inception_no_progressive,311.636363636,3.09718325298e-06
