Modality,Annotation Size,TN
unet_shuffle_inception_no_progressive,122.0,262021.9375
unet_shuffle_inception_no_progressive,134.0,262009.96875
unet_shuffle_inception_no_progressive,150.0,262033.9375
unet_shuffle_inception_no_progressive,180.0,261963.828125
unet_shuffle_inception_no_progressive,186.0,262024.4375
unet_shuffle_inception_no_progressive,202.0,261941.9375
unet_shuffle_inception_no_progressive,194.0,261949.0625
unet_shuffle_inception_no_progressive,214.0,261927.828125
unet_shuffle_inception_no_progressive,54.5,262083.6015625
unet_shuffle_inception_no_progressive,69.25,262066.2421875
unet_shuffle_inception_no_progressive,83.25,262065.34375
unet_shuffle_inception_no_progressive,69.0,262073.890625
unet_shuffle_inception_no_progressive,38.0,262094.959375
unet_shuffle_inception_no_progressive,54.0,262081.246875
unet_shuffle_inception_no_progressive,95.5,262019.234375
unet_shuffle_inception_no_progressive,161.0,261947.45833333334
unet_shuffle_inception_no_progressive,314.5,261805.328125
unet_shuffle_inception_no_progressive,351.0,261787.03125
unet_shuffle_inception_no_progressive,389.75,261644.625
unet_shuffle_inception_no_progressive,247.714285714,261754.8125
unet_shuffle_inception_no_progressive,240.75,261675.9375
unet_shuffle_inception_no_progressive,237.555555556,261549.015625
unet_shuffle_inception_no_progressive,242.1,261632.046875
unet_shuffle_inception_no_progressive,304.181818182,261531.546875
unet_shuffle_inception_no_progressive,297.909090909,261339.78125
unet_shuffle_inception_no_progressive,355.727272727,261391.140625
unet_shuffle_inception_no_progressive,311.636363636,261288.765625
unet_shuffle_inception_no_progressive,284.181818182,261477.375
unet_shuffle_inception_no_progressive,219.272727273,261538.265625
unet_shuffle_inception_no_progressive,143.363636364,261740.203125
unet_shuffle_inception_no_progressive,127.285714286,261824.921875
unet_shuffle_inception_no_progressive,67.4285714286,261946.21875
unet_shuffle_inception_no_progressive,58.5714285714,262044.28125
unet_shuffle_inception_no_progressive,88.5,262071.796875
unet_shuffle_inception_no_progressive,35.0,262047.04166666666
unet_shuffle_inception_no_progressive,10.0,262133.13839285713
unet_shuffle_inception_no_progressive,51.5,262071.734375
unet_shuffle_inception_no_progressive,86.0,262057.27604166666
unet_shuffle_inception_no_progressive,83.0,262062.5
unet_shuffle_inception_no_progressive,82.0,262052.265625
unet_shuffle_inception_no_progressive,57.0,262105.015625
unet_shuffle_inception_no_progressive,15.0,262112.36057692306
unet_shuffle_inception_no_progressive,20.0,262115.48958333334
unet_shuffle_inception_no_progressive,22.0,262117.74609375
unet_shuffle_inception_no_progressive,49.3333333333,262102.3984375
unet_shuffle_inception_no_progressive,61.2,262072.9375
unet_shuffle_inception_no_progressive,48.0,262093.2109375
unet_shuffle_inception_no_progressive,44.3333333333,262095.375
unet_shuffle_inception_no_progressive,130.0,261952.375
unet_shuffle_inception_no_progressive,195.0,261903.703125
unet_shuffle_inception_no_progressive,275.0,261738.9375
unet_shuffle_inception_no_progressive,249.0,261774.3984375
unet_shuffle_inception_no_progressive,57.25,262051.921875
unet_shuffle_inception_no_progressive,179.0,261892.53125
unet_shuffle_inception_no_progressive,194.5,262026.0625
unet_shuffle_inception_no_progressive,4.0,262129.8984375
unet_shuffle_inception_no_progressive,11.0,262119.66964285713
unet_shuffle_inception_no_progressive,31.0,262105.34895833334
unet_shuffle_inception_no_progressive,55.6666666667,262082.0
unet_shuffle_inception_no_progressive,76.6666666667,262042.03125
unet_shuffle_inception_no_progressive,95.3333333333,262038.9375
unet_shuffle_inception_no_progressive,94.5,262016.890625
unet_shuffle_inception_no_progressive,80.5,261991.1953125
unet_shuffle_inception_no_progressive,69.5,262051.25
unet_shuffle_inception_no_progressive,53.0,262089.3515625
unet_shuffle_inception_no_progressive,41.5,262094.6953125
unet_shuffle_inception_no_progressive,24.5,262123.46875
unet_shuffle_inception_no_progressive,49.5,262041.4765625
unet_shuffle_inception_no_progressive,53.5,262091.25
unet_shuffle_inception_no_progressive,87.0,262051.13541666666
unet_shuffle_inception_no_progressive,2.0,262141.9296875
unet_shuffle_inception_no_progressive,3.0,262140.765625
unet_shuffle_inception_no_progressive,9.0,262114.56875
unet_shuffle_inception_no_progressive,92.0,262049.578125
unet_shuffle_inception_no_progressive,88.0,262054.875
unet_shuffle_inception_no_progressive,116.0,262007.84375
unet_shuffle_inception_no_progressive,64.0,261983.59375
unet_shuffle_inception_no_progressive,37.0,262091.51041666666
unet_shuffle_inception_no_progressive,25.0,262060.50568181818
unet_shuffle_inception_no_progressive,8.0,262034.9017857143
unet_shuffle_inception_no_progressive,220.25,261873.140625
unet_shuffle_inception_no_progressive,434.5,261706.171875
unet_shuffle_inception_no_progressive,464.25,261669.21875
unet_shuffle_inception_no_progressive,356.5,261782.765625
unet_shuffle_inception_no_progressive,132.25,262111.84375
unet_shuffle_inception_no_progressive,86.5,262034.53125
unet_shuffle_inception_no_progressive,119.0,262013.6328125
unet_shuffle_inception_no_progressive,112.5,262001.578125
unet_shuffle_inception_no_progressive,140.0,261988.71875
unet_shuffle_inception_no_progressive,29.0,262109.015625
unet_shuffle_inception_no_progressive,51.0,262085.44921875
unet_shuffle_inception_no_progressive,131.0,262015.75
unet_shuffle_inception_no_progressive,212.25,261948.78125
unet_shuffle_inception_no_progressive,260.0,261821.328125
unet_shuffle_inception_no_progressive,341.25,261764.75
unet_shuffle_inception_no_progressive,378.75,261672.046875
unet_shuffle_inception_no_progressive,400.5,261764.765625
unet_shuffle_inception_no_progressive,429.25,261766.859375
unet_shuffle_inception_no_progressive,454.75,261584.9375
unet_shuffle_inception_no_progressive,457.5,261707.921875
unet_shuffle_inception_no_progressive,447.0,261750.75
unet_shuffle_inception_no_progressive,432.25,261771.609375
unet_shuffle_inception_no_progressive,400.0,261750.875
unet_shuffle_inception_no_progressive,367.75,261776.953125
unet_shuffle_inception_no_progressive,305.0,261869.3984375
unet_shuffle_inception_no_progressive,213.5,261884.96875
unet_shuffle_inception_no_progressive,109.5,262015.96875
unet_shuffle_inception_no_progressive,5.0,262108.97395833334
unet_shuffle_inception_no_progressive,16.5,262075.421875
unet_shuffle_inception_no_progressive,11.5,262084.6015625
unet_shuffle_inception_no_progressive,41.0,261960.309375
unet_shuffle_inception_no_progressive,61.3333333333,262067.86458333334
unet_shuffle_inception_no_progressive,72.6666666667,262079.96875
unet_shuffle_inception_no_progressive,72.0,262066.328125
unet_shuffle_inception_no_progressive,70.3333333333,262068.34375
unet_shuffle_inception_no_progressive,30.6666666667,262114.375
unet_shuffle_inception_no_progressive,33.5,262111.3203125
unet_shuffle_inception_no_progressive,34.5,262097.8671875
unet_shuffle_inception_no_progressive,36.5,262115.2578125
unet_shuffle_inception_no_progressive,36.875,262067.65625
unet_shuffle_inception_no_progressive,58.25,262083.71875
unet_shuffle_inception_no_progressive,21.5,262109.40625
unet_shuffle_inception_no_progressive,28.3333333333,262111.328125
unet_shuffle_inception_no_progressive,73.0,262069.046875
unet_shuffle_inception_no_progressive,61.0,262074.453125
unet_shuffle_inception_no_progressive,42.0,262092.171875
unet_shuffle_inception_no_progressive,43.5,262031.13020833334
unet_shuffle_inception_no_progressive,6.66666666667,262132.9375
unet_shuffle_inception_no_progressive,40.25,262107.234375
unet_shuffle_inception_no_progressive,37.25,262110.5625
unet_shuffle_inception_no_progressive,30.75,262108.96875
unet_shuffle_inception_no_progressive,44.6666666667,262081.984375
unet_shuffle_inception_no_progressive,87.6666666667,262082.515625
unet_shuffle_inception_no_progressive,105.0,262051.9375
unet_shuffle_inception_no_progressive,23.5,262120.875
unet_shuffle_inception_no_progressive,36.1666666667,262103.953125
unet_shuffle_inception_no_progressive,36.4,262123.8125
unet_shuffle_inception_no_progressive,32.6666666667,262106.71875
unet_shuffle_inception_no_progressive,70.5,262079.0
unet_shuffle_inception_no_progressive,150.5,262001.0
unet_shuffle_inception_no_progressive,71.25,262082.3203125
unet_shuffle_inception_no_progressive,44.0,262092.95572916666
unet_shuffle_inception_no_progressive,34.0,262031.19097222222
unet_shuffle_inception_no_progressive,91.0,262040.359375
unet_shuffle_inception_no_progressive,15.3333333333,262127.9375
unet_shuffle_inception_no_progressive,29.25,262127.78125
unet_shuffle_inception_no_progressive,33.25,262115.890625
unet_shuffle_inception_no_progressive,16.25,262124.6796875
unet_shuffle_inception_no_progressive,58.75,262139.609375
unet_shuffle_inception_no_progressive,86.25,262046.53125
unet_shuffle_inception_no_progressive,146.25,261919.953125
unet_shuffle_inception_no_progressive,201.5,261936.8125
unet_shuffle_inception_no_progressive,225.0,261963.0625
unet_shuffle_inception_no_progressive,247.5,261959.546875
unet_shuffle_inception_no_progressive,257.0,261837.296875
unet_shuffle_inception_no_progressive,265.75,261924.5
unet_shuffle_inception_no_progressive,278.0,261845.79296875
unet_shuffle_inception_no_progressive,199.25,261927.4375
unet_shuffle_inception_no_progressive,147.75,261960.671875
unet_shuffle_inception_no_progressive,73.6666666667,262138.734375
unet_shuffle_inception_no_progressive,39.0,262110.9609375
unet_shuffle_inception_no_progressive,32.3333333333,262113.2578125
unet_shuffle_inception_no_progressive,9.5,262138.046875
unet_shuffle_inception_no_progressive,77.25,262071.5859375
unet_shuffle_inception_no_progressive,93.5,262004.09375
unet_shuffle_inception_no_progressive,30.0,262095.828125
unet_shuffle_inception_no_progressive,102.0,262019.859375
unet_shuffle_inception_no_progressive,160.666666667,261948.875
unet_shuffle_inception_no_progressive,307.666666667,261841.71875
unet_shuffle_inception_no_progressive,385.666666667,261741.875
unet_shuffle_inception_no_progressive,437.333333333,261672.53125
unet_shuffle_inception_no_progressive,514.0,261608.1875
unet_shuffle_inception_no_progressive,568.333333333,261518.71875
unet_shuffle_inception_no_progressive,605.0,261552.40625
unet_shuffle_inception_no_progressive,687.666666667,261494.640625
unet_shuffle_inception_no_progressive,739.333333333,261444.90625
unet_shuffle_inception_no_progressive,736.0,261388.703125
unet_shuffle_inception_no_progressive,776.0,261362.640625
unet_shuffle_inception_no_progressive,740.333333333,261456.53125
unet_shuffle_inception_no_progressive,662.0,261497.390625
unet_shuffle_inception_no_progressive,536.333333333,261605.546875
unet_shuffle_inception_no_progressive,393.0,261779.0
unet_shuffle_inception_no_progressive,316.333333333,261834.671875
unet_shuffle_inception_no_progressive,265.333333333,261849.53125
unet_shuffle_inception_no_progressive,143.666666667,262028.109375
unet_shuffle_inception_no_progressive,59.5,262087.56770833334
unet_shuffle_inception_no_progressive,46.6666666667,262082.578125
unet_shuffle_inception_no_progressive,26.5,262115.6796875
unet_shuffle_inception_no_progressive,43.0,262085.94270833334
unet_shuffle_inception_no_progressive,66.0,262082.04166666666
unet_shuffle_inception_no_progressive,36.0,262109.8984375
unet_shuffle_inception_no_progressive,18.3333333333,262138.59375
unet_shuffle_inception_no_progressive,79.3333333333,262044.578125
unet_shuffle_inception_no_progressive,31.6666666667,262120.96875
unet_shuffle_inception_no_progressive,92.3333333333,262065.5
unet_shuffle_inception_no_progressive,128.0,262004.1484375
unet_shuffle_inception_no_progressive,154.333333333,261994.3125
unet_shuffle_inception_no_progressive,89.6666666667,262060.1640625
unet_shuffle_inception_no_progressive,19.5,262120.51041666666
unet_shuffle_inception_no_progressive,143.0,261966.8125
unet_shuffle_inception_no_progressive,133.333333333,262038.5
unet_shuffle_inception_no_progressive,85.6666666667,262057.9375
unet_shuffle_inception_no_progressive,63.6666666667,262091.828125
unet_shuffle_inception_no_progressive,51.6666666667,262086.953125
unet_shuffle_inception_no_progressive,75.0,262080.5625
unet_shuffle_inception_no_progressive,203.25,261920.5
unet_shuffle_inception_no_progressive,188.25,261991.0
unet_shuffle_inception_no_progressive,111.0,262015.921875
unet_shuffle_inception_no_progressive,16.3333333333,262114.9296875
unet_shuffle_inception_no_progressive,43.3333333333,262083.3125
unet_shuffle_inception_no_progressive,134.75,261989.78125
unet_shuffle_inception_no_progressive,242.25,261823.625
unet_shuffle_inception_no_progressive,316.5,261879.90625
unet_shuffle_inception_no_progressive,334.8,261767.984375
unet_shuffle_inception_no_progressive,421.6,261607.984375
unet_shuffle_inception_no_progressive,646.5,261513.921875
unet_shuffle_inception_no_progressive,720.75,261241.828125
unet_shuffle_inception_no_progressive,753.5,261382.15625
unet_shuffle_inception_no_progressive,826.5,261257.890625
unet_shuffle_inception_no_progressive,806.5,261251.140625
unet_shuffle_inception_no_progressive,736.5,261524.65625
unet_shuffle_inception_no_progressive,697.5,261319.75
unet_shuffle_inception_no_progressive,659.25,261403.953125
unet_shuffle_inception_no_progressive,560.25,261691.953125
unet_shuffle_inception_no_progressive,466.25,261772.453125
unet_shuffle_inception_no_progressive,347.25,261747.421875
unet_shuffle_inception_no_progressive,215.5,262012.046875
unet_shuffle_inception_no_progressive,130.666666667,261986.453125
unet_shuffle_inception_no_progressive,62.0,262071.3671875
unet_shuffle_inception_no_progressive,76.0,261781.375
unet_shuffle_inception_no_progressive,99.0,261747.65625
unet_shuffle_inception_no_progressive,182.0,261730.640625
unet_shuffle_inception_no_progressive,323.0,261642.84375
unet_shuffle_inception_no_progressive,472.0,261523.09375
unet_shuffle_inception_no_progressive,506.0,261547.15625
unet_shuffle_inception_no_progressive,529.0,261494.609375
