Modality,Annotation Size,Sensitivity
unet_shuffle_inception_no_progressive,181.0,2.0195418753688387e-05
unet_shuffle_inception_no_progressive,210.5,6.320458326732263e-09
unet_shuffle_inception_no_progressive,185.0,1.4292261961807194e-08
unet_shuffle_inception_no_progressive,135.5,3.4010677238098975e-08
unet_shuffle_inception_no_progressive,166.5,3.271201386642686e-07
unet_shuffle_inception_no_progressive,176.75,8.086707166201755e-07
unet_shuffle_inception_no_progressive,136.75,3.196363051797361e-07
unet_shuffle_inception_no_progressive,116.5,1.8593681207015946e-07
unet_shuffle_inception_no_progressive,89.25,0.00040588449745351357
unet_shuffle_inception_no_progressive,52.5,6.331994669318068e-07
unet_shuffle_inception_no_progressive,40.5,0.005964230201984505
unet_shuffle_inception_no_progressive,78.0,1.1449621956059344e-08
unet_shuffle_inception_no_progressive,112.0,2.835815948379705e-07
unet_shuffle_inception_no_progressive,122.0,8.912759507263843e-06
unet_shuffle_inception_no_progressive,134.0,4.9428788512545164e-09
unet_shuffle_inception_no_progressive,150.0,1.541884025189572e-05
unet_shuffle_inception_no_progressive,180.0,2.129050515680048e-10
unet_shuffle_inception_no_progressive,186.0,5.537573791382163e-08
unet_shuffle_inception_no_progressive,202.0,6.406696515035087e-11
unet_shuffle_inception_no_progressive,194.0,2.4046714218339283e-11
unet_shuffle_inception_no_progressive,214.0,6.500298222808213e-12
unet_shuffle_inception_no_progressive,54.5,3.774067611806108e-06
unet_shuffle_inception_no_progressive,69.25,0.048886101469416146
unet_shuffle_inception_no_progressive,83.25,1.0993937722871596e-05
unet_shuffle_inception_no_progressive,69.0,3.0488907637984423e-06
unet_shuffle_inception_no_progressive,38.0,0.00031717596128062167
unet_shuffle_inception_no_progressive,54.0,0.3173158479679151
unet_shuffle_inception_no_progressive,95.5,0.44519755175041503
unet_shuffle_inception_no_progressive,161.0,0.30519296677392976
unet_shuffle_inception_no_progressive,314.5,0.8939360779791072
unet_shuffle_inception_no_progressive,351.0,0.929288326355749
unet_shuffle_inception_no_progressive,389.75,0.7315425895949751
unet_shuffle_inception_no_progressive,247.714285714,2.8588462268323766e-05
unet_shuffle_inception_no_progressive,240.75,0.1486441240903738
unet_shuffle_inception_no_progressive,237.555555556,0.1937660275506052
unet_shuffle_inception_no_progressive,242.1,0.9441851878980484
unet_shuffle_inception_no_progressive,304.181818182,0.9303648038478388
unet_shuffle_inception_no_progressive,297.909090909,3.875155570569897e-06
unet_shuffle_inception_no_progressive,355.727272727,0.8619799259521661
unet_shuffle_inception_no_progressive,311.636363636,1.7017490111394038e-08
unet_shuffle_inception_no_progressive,284.181818182,0.7379127469763661
unet_shuffle_inception_no_progressive,219.272727273,0.5716932497859425
unet_shuffle_inception_no_progressive,143.363636364,0.9052909029608108
unet_shuffle_inception_no_progressive,127.285714286,0.3214376395691006
unet_shuffle_inception_no_progressive,67.4285714286,0.00235809094267
unet_shuffle_inception_no_progressive,58.5714285714,0.6527599699308396
unet_shuffle_inception_no_progressive,88.5,7.76253581514614e-06
unet_shuffle_inception_no_progressive,35.0,0.00490860978469647
unet_shuffle_inception_no_progressive,10.0,1.1965129706522344e-05
unet_shuffle_inception_no_progressive,51.5,0.0001812462748003
unet_shuffle_inception_no_progressive,86.0,0.2293619482825682
unet_shuffle_inception_no_progressive,83.0,0.3351664618098727
unet_shuffle_inception_no_progressive,82.0,0.1879640657640945
unet_shuffle_inception_no_progressive,57.0,0.15952497834649199
unet_shuffle_inception_no_progressive,15.0,3.756460194972935e-05
unet_shuffle_inception_no_progressive,20.0,0.017724740135745418
unet_shuffle_inception_no_progressive,22.0,0.0004672940824170076
unet_shuffle_inception_no_progressive,49.3333333333,4.889404498497666e-07
unet_shuffle_inception_no_progressive,61.2,2.67538670866666e-15
unet_shuffle_inception_no_progressive,48.0,5.626294016644709e-08
