setting, sequential,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,end_to_end
High Angular Sparsity, 31.79464881173467, 30.982467715948626,30.85455965173657,30.782218201515636,30.71332094522246,30.605559029834694,30.45304532892699,30.15331747138154,29.830816281901914,28.580448536604287,17.2762012178259530
Low Angular Sparsity, 34.61522740352839, 34.26961686466223,34.05014379292774,33.7570763074553,33.51428847639664,33.13457752377484,32.83655819259023,32.20049371660946,31.249333078437203,29.88667789496433,17.097277617173013
