Modality,Annotation Size,BCE_loss
lpd_unet_0_1,52.75,0.00222824141383
lpd_unet_0_1,71.5,0.00315241795033
lpd_unet_0_1,30.25,0.001161351508925
lpd_unet_0_1,30.3333333333,0.0014193754953646667
lpd_unet_0_1,28.0,0.0014518578148735002
lpd_unet_0_1,20.25,0.000968569802352
lpd_unet_0_1,9.33333333333,0.000287751434371
lpd_unet_0_1,26.0,0.0013665033475263751
lpd_unet_0_1,21.0,0.0008370389299337272
lpd_unet_0_1,24.0,0.0021782395837363997
lpd_unet_0_1,40.75,0.00122403563
lpd_unet_0_1,38.5,0.0022028033388779996
lpd_unet_0_1,20.75,0.000812459969893
lpd_unet_0_1,19.0,0.0011453992580451667
lpd_unet_0_1,6.0,0.0018937980668862
lpd_unet_0_1,16.0,0.0009639067691763999
lpd_unet_0_1,29.5,0.000937990000241
lpd_unet_0_1,37.5,0.0016638928597483332
lpd_unet_0_1,17.0,0.0014223113597843
lpd_unet_0_1,13.0,0.0013496769889669998
lpd_unet_0_1,52.0,0.0025462613800003335
lpd_unet_0_1,40.0,0.00264105459791625
lpd_unet_0_1,80.0,0.009383229228373332
lpd_unet_0_1,50.0,0.0041115962667371666
lpd_unet_0_1,19.6666666667,0.0015384750634766665
lpd_unet_0_1,29.1666666667,0.00166959641501
lpd_unet_0_1,45.25,0.002237573615275
lpd_unet_0_1,63.0,0.0024502145824933336
lpd_unet_0_1,31.3333333333,0.003658130648545
lpd_unet_0_1,124.0,0.00576772075146
lpd_unet_0_1,114.0,0.003379355572786667
lpd_unet_0_1,127.666666667,0.00111292873044
lpd_unet_0_1,203.0,0.004927192552716
lpd_unet_0_1,240.333333333,0.00130211154465
lpd_unet_0_1,147.0,0.0016932304715755
lpd_unet_0_1,50.6666666667,0.00334589299746
lpd_unet_0_1,18.0,0.0023668276262471667
lpd_unet_0_1,56.5,0.00442662555724
lpd_unet_0_1,97.0,0.003606925718485
lpd_unet_0_1,146.5,0.000494681589771
lpd_unet_0_1,107.5,0.000336117227562
lpd_unet_0_1,48.3333333333,0.00202830671333
lpd_unet_0_1,191.0,0.004364439053460001
lpd_unet_0_1,208.0,0.00169289833866
lpd_unet_0_1,47.0,0.0017318093450759998
lpd_unet_0_1,32.0,0.0016337482084045
lpd_unet_0_1,121.0,0.005785701563585001
lpd_unet_0_1,17.6666666667,0.00240664603189
lpd_unet_0_1,23.0,0.0018816911499028998
lpd_unet_0_1,113.75,0.00326493638568
lpd_unet_0_1,148.75,0.00364486663602
lpd_unet_0_1,201.75,0.00527887325734
lpd_unet_0_1,239.75,0.0097929276526
lpd_unet_0_1,289.5,0.00714238733053
lpd_unet_0_1,248.0,0.00729477312416
lpd_unet_0_1,104.0,0.00399156752974
lpd_unet_0_1,94.0,0.002580497122835
lpd_unet_0_1,77.0,0.002313291816972
lpd_unet_0_1,211.0,0.005380895221605
lpd_unet_0_1,174.75,0.00582290347666
lpd_unet_0_1,406.5,0.0115899369121
lpd_unet_0_1,471.75,0.00865720119327
lpd_unet_0_1,365.25,0.00648041535169
lpd_unet_0_1,158.75,0.0072739510797
lpd_unet_0_1,153.0,0.005004146912443334
lpd_unet_0_1,148.333333333,0.00432047015056
lpd_unet_0_1,145.5,0.0041075758636
lpd_unet_0_1,140.5,0.00335214007646
lpd_unet_0_1,101.0,0.0039242606144399995
lpd_unet_0_1,141.0,0.00419046008028
lpd_unet_0_1,172.25,0.00306569132954
lpd_unet_0_1,169.5,0.00363410357386
lpd_unet_0_1,141.75,0.00404567969963
lpd_unet_0_1,85.0,0.004186772363025
lpd_unet_0_1,59.0,0.006589349795835667
lpd_unet_0_1,12.0,0.001998205067740111
lpd_unet_0_1,7.0,0.0007636311721792857
lpd_unet_0_1,14.0,0.0010775003465827
lpd_unet_0_1,27.0,0.001644729786286143
lpd_unet_0_1,99.3333333333,0.00234365998767
lpd_unet_0_1,135.666666667,0.00273524690419
lpd_unet_0_1,180.5,0.003682730544825
lpd_unet_0_1,188.75,0.00390590564348
lpd_unet_0_1,221.75,0.00721165537834
lpd_unet_0_1,228.5,0.00691005541012
lpd_unet_0_1,239.0,0.00626618415117
lpd_unet_0_1,251.25,0.00705312332138
lpd_unet_0_1,231.0,0.00725436303765
lpd_unet_0_1,231.75,0.00624483684078
lpd_unet_0_1,222.25,0.00522437598556
lpd_unet_0_1,217.25,0.00542351929471
lpd_unet_0_1,215.75,0.00563960336149
lpd_unet_0_1,206.5,0.00768054323271
lpd_unet_0_1,186.75,0.00605959584936
lpd_unet_0_1,162.25,0.0026336058799635003
lpd_unet_0_1,146.75,0.00579960504547
lpd_unet_0_1,130.75,0.00511987879872
lpd_unet_0_1,33.0,0.0013779657529080001
lpd_unet_0_1,18.25,0.000436493457528
lpd_unet_0_1,160.0,0.0024294850494100003
lpd_unet_0_1,190.0,0.00678848917596
lpd_unet_0_1,245.0,0.00606637587771
lpd_unet_0_1,181.0,0.00565344048664
lpd_unet_0_1,210.5,0.0036660995101549998
lpd_unet_0_1,185.0,0.00307139055803
lpd_unet_0_1,135.5,0.00291379285045
lpd_unet_0_1,166.5,0.00199485081248
lpd_unet_0_1,176.75,0.00104649667628
lpd_unet_0_1,136.75,0.00110539747402
lpd_unet_0_1,116.5,0.00121684395708
lpd_unet_0_1,89.25,0.0011847219138865
lpd_unet_0_1,52.5,0.0008269675599875
lpd_unet_0_1,40.5,0.001054597232724
lpd_unet_0_1,78.0,0.0076522788731499996
lpd_unet_0_1,112.0,0.003559836302885
lpd_unet_0_1,122.0,0.0039115792606049995
lpd_unet_0_1,134.0,0.00467000156641
lpd_unet_0_1,150.0,0.004622387078903333
lpd_unet_0_1,180.0,0.0061178994365
lpd_unet_0_1,186.0,0.0045810134615750005
lpd_unet_0_1,202.0,0.00680933892727
lpd_unet_0_1,194.0,0.00665992032737
lpd_unet_0_1,214.0,0.00731240212917
lpd_unet_0_1,54.5,0.0025258345413
lpd_unet_0_1,69.25,0.002641262079125
lpd_unet_0_1,83.25,0.00416374998167
lpd_unet_0_1,69.0,0.00616437220015
lpd_unet_0_1,38.0,0.0017881139647199999
lpd_unet_0_1,54.0,0.0012919995002444002
lpd_unet_0_1,95.5,0.0014859081420590002
lpd_unet_0_1,161.0,0.0038518471022433334
lpd_unet_0_1,314.5,0.00165212561842
lpd_unet_0_1,351.0,0.00328641035594
lpd_unet_0_1,389.75,0.00178177084308
lpd_unet_0_1,247.714285714,0.00296380370855
lpd_unet_0_1,240.75,0.0033322579693
lpd_unet_0_1,237.555555556,0.0143401492387
lpd_unet_0_1,242.1,0.00650195823982
lpd_unet_0_1,304.181818182,0.0137997251004
lpd_unet_0_1,297.909090909,0.0128134246916
lpd_unet_0_1,355.727272727,0.0115453926846
lpd_unet_0_1,311.636363636,0.00989686138928
lpd_unet_0_1,284.181818182,0.00800376292318
lpd_unet_0_1,219.272727273,0.00563448853791
lpd_unet_0_1,143.363636364,0.00403155712411
lpd_unet_0_1,127.285714286,0.00255518918857
lpd_unet_0_1,67.4285714286,0.00398660451174
lpd_unet_0_1,58.5714285714,0.00579435843974
lpd_unet_0_1,88.5,0.00305748428218
lpd_unet_0_1,35.0,0.0020575193533059997
lpd_unet_0_1,10.0,0.0005477603657968571
lpd_unet_0_1,51.5,0.00161025172565
lpd_unet_0_1,86.0,0.0028154490282766664
lpd_unet_0_1,83.0,0.0021703188540400003
lpd_unet_0_1,82.0,0.001728285395075
lpd_unet_0_1,57.0,0.0023113731294899997
lpd_unet_0_1,15.0,0.0011016190557993845
lpd_unet_0_1,20.0,0.0013306424823689997
lpd_unet_0_1,22.0,0.002267351112094875
lpd_unet_0_1,49.3333333333,0.00418197712861
lpd_unet_0_1,61.2,0.00277448026463
lpd_unet_0_1,48.0,0.002156688831745
lpd_unet_0_1,44.3333333333,0.0029965642606800003
lpd_unet_0_1,130.0,0.002219887916
lpd_unet_0_1,195.0,0.010597403394045
lpd_unet_0_1,275.0,0.0067731407471
lpd_unet_0_1,249.0,0.00655165757053
lpd_unet_0_1,57.25,0.00132516701706
lpd_unet_0_1,179.0,0.00185796397272
lpd_unet_0_1,194.5,0.00984666368459
lpd_unet_0_1,4.0,0.00036115378134112495
lpd_unet_0_1,11.0,0.0018748609540391432
lpd_unet_0_1,31.0,0.0011450362023118334
lpd_unet_0_1,55.6666666667,0.00136330921669
lpd_unet_0_1,76.6666666667,0.00244090217166
lpd_unet_0_1,95.3333333333,0.00218699057586
lpd_unet_0_1,94.5,0.00225561182015
lpd_unet_0_1,80.5,0.00280904606916
lpd_unet_0_1,69.5,0.00197392748669
lpd_unet_0_1,53.0,0.012380607848151
lpd_unet_0_1,41.5,0.0017898943915494998
lpd_unet_0_1,24.5,0.00153847277397
lpd_unet_0_1,49.5,0.00193354533985
lpd_unet_0_1,53.5,0.0020032733446
lpd_unet_0_1,87.0,0.002722981153053333
lpd_unet_0_1,2.0,0.000142198656249
lpd_unet_0_1,3.0,0.00014605050819250002
lpd_unet_0_1,9.0,0.0009313352988093999
lpd_unet_0_1,92.0,0.00248081819154
lpd_unet_0_1,88.0,0.00218075932935
lpd_unet_0_1,116.0,0.003403565856082333
lpd_unet_0_1,64.0,0.00161213087267375
lpd_unet_0_1,37.0,0.002647154867495
lpd_unet_0_1,25.0,0.0037648021931387266
lpd_unet_0_1,8.0,0.0015696353595038572
lpd_unet_0_1,220.25,0.00118712405674
lpd_unet_0_1,434.5,0.00187892315444
lpd_unet_0_1,464.25,0.00258817872964
lpd_unet_0_1,356.5,0.00198790151626
lpd_unet_0_1,132.25,0.000981835415587
lpd_unet_0_1,86.5,0.00409539416432
lpd_unet_0_1,119.0,0.00396381026075675
lpd_unet_0_1,112.5,0.00530461408198
lpd_unet_0_1,140.0,0.00572037464008
lpd_unet_0_1,29.0,0.0014469734409692857
lpd_unet_0_1,51.0,0.006603161396937499
lpd_unet_0_1,131.0,0.0348049998283
lpd_unet_0_1,212.25,0.0633494853973
lpd_unet_0_1,260.0,0.0909235402942
lpd_unet_0_1,341.25,0.138873264194
lpd_unet_0_1,378.75,0.132039800286
lpd_unet_0_1,400.5,0.163093775511
lpd_unet_0_1,429.25,0.144294068217
lpd_unet_0_1,454.75,0.148001194
lpd_unet_0_1,457.5,0.170455217361
lpd_unet_0_1,447.0,0.185837134719
lpd_unet_0_1,432.25,0.150709733367
lpd_unet_0_1,400.0,0.164363265038
lpd_unet_0_1,367.75,0.134801611304
lpd_unet_0_1,305.0,0.0835287487137
lpd_unet_0_1,213.5,0.0971751958132
lpd_unet_0_1,109.5,0.0442965142429
lpd_unet_0_1,5.0,0.0005539796159913334
lpd_unet_0_1,16.5,0.0013103238015899998
lpd_unet_0_1,11.5,0.000843469388202
lpd_unet_0_1,41.0,0.005516442237416999
lpd_unet_0_1,61.3333333333,0.0011246998522746667
lpd_unet_0_1,72.6666666667,0.0017017518403
lpd_unet_0_1,72.0,0.0022018190162866667
lpd_unet_0_1,70.3333333333,0.00197576312348
lpd_unet_0_1,30.6666666667,0.0019361531206733334
lpd_unet_0_1,33.5,0.0016719080158495
lpd_unet_0_1,34.5,0.00173715816345
lpd_unet_0_1,36.5,0.00155902764527
lpd_unet_0_1,36.875,0.000972573703621
lpd_unet_0_1,58.25,0.00122098135762
lpd_unet_0_1,21.5,0.000420898839366
lpd_unet_0_1,28.3333333333,0.001224462350365
lpd_unet_0_1,73.0,0.0005501470295714999
lpd_unet_0_1,61.0,0.001455666555558
lpd_unet_0_1,42.0,0.00148337840800875
lpd_unet_0_1,43.5,0.0015254761868453333
lpd_unet_0_1,6.66666666667,0.000239751068875
lpd_unet_0_1,40.25,0.00287313462468
lpd_unet_0_1,37.25,0.00103787099943
lpd_unet_0_1,30.75,0.00275663705543
lpd_unet_0_1,44.6666666667,0.00220705312677
lpd_unet_0_1,87.6666666667,0.016737196478070003
lpd_unet_0_1,105.0,0.00310899363831
lpd_unet_0_1,23.5,0.000776819098974
lpd_unet_0_1,36.1666666667,0.001199105056
lpd_unet_0_1,36.4,0.00120891770348
lpd_unet_0_1,32.6666666667,0.0031208518776100003
lpd_unet_0_1,70.5,0.00290466612205
lpd_unet_0_1,150.5,0.00145434401929
lpd_unet_0_1,71.25,0.00783243309706
lpd_unet_0_1,44.0,0.0065824652944316666
lpd_unet_0_1,34.0,0.003798402522480667
lpd_unet_0_1,91.0,0.0204497780651
lpd_unet_0_1,15.3333333333,0.000714015623089
lpd_unet_0_1,29.25,0.00141872186214
lpd_unet_0_1,33.25,0.00207667285576
lpd_unet_0_1,16.25,0.001301139433055
lpd_unet_0_1,58.75,0.00390010816045
lpd_unet_0_1,86.25,0.00644958717749
lpd_unet_0_1,146.25,0.00455323467031
lpd_unet_0_1,201.5,0.000502227048855
lpd_unet_0_1,225.0,0.000514288549311
lpd_unet_0_1,247.5,0.00129156105686
lpd_unet_0_1,257.0,0.00208658864722
lpd_unet_0_1,265.75,0.00121428992134
lpd_unet_0_1,278.0,0.0051835804624655
lpd_unet_0_1,199.25,0.000977125018835
lpd_unet_0_1,147.75,0.00581383146346
lpd_unet_0_1,73.6666666667,0.00589113589376
lpd_unet_0_1,39.0,0.0017960806435425
lpd_unet_0_1,32.3333333333,0.002336772391575
lpd_unet_0_1,9.5,0.000517288048286
lpd_unet_0_1,77.25,0.0018851934000850001
lpd_unet_0_1,93.5,0.0022654957138
lpd_unet_0_1,30.0,0.0019194179414107144
lpd_unet_0_1,102.0,0.00641744537279
lpd_unet_0_1,160.666666667,0.00484784552827
lpd_unet_0_1,307.666666667,0.00694988528267
lpd_unet_0_1,385.666666667,0.00827087089419
lpd_unet_0_1,437.333333333,0.0110836289823
lpd_unet_0_1,514.0,0.009499120526005
lpd_unet_0_1,568.333333333,0.0144257228822
lpd_unet_0_1,605.0,0.018197953701
