Annotation,Modality,Value
small,sequential,0.0808850146311414
small,0.1,0.0658327335333162
small,0.2,0.0589129423803143
small,0.3,0.0722901779385706
small,0.4,0.0759239238211245
small,0.5,0.0553131732414315
small,0.6,0.0691241375896765
small,0.7,0.0847902434433858
small,0.8,0.0638245047792838
small,0.9,0.0985236060847974
small,end-to-end,0.0836217770694457
large,sequential,0.3484277375010394
large,0.1,0.3634876483180221
large,0.2,0.3073267427583889
large,0.3,0.3100898473235492
large,0.4,0.3538241882619743
large,0.5,0.2840806730736055
large,0.6,0.3184984044880399
large,0.7,0.3287450081923913
large,0.8,0.2873140172471917
large,0.9,0.3460417583377341
large,end-to-end,0.3158753032295213
with,sequential,0.0957768798304212
with,0.1,0.0841020323295741
with,0.2,0.0736354227157365
with,0.3,0.0852237613289596
with,0.4,0.0931303623343706
with,0.5,0.0677723783191701
with,0.6,0.0839384252031671
with,0.7,0.0994033554222203
with,0.8,0.0757221909583923
with,0.9,0.1133076435922243
with,end-to-end,0.0938570720692847
without,sequential,
without,0.1,
without,0.2,
without,0.3,
without,0.4,
without,0.5,
without,0.6,
without,0.7,
without,0.8,
without,0.9,
without,end-to-end,
