Modality,Annotation Size,FN
lpd_unet_0_1,69.0,52.2490119934
lpd_unet_0_1,38.0,32.99469451904
lpd_unet_0_1,54.0,50.45073051452
lpd_unet_0_1,95.5,15.38757228853
lpd_unet_0_1,161.0,101.99865372961666
lpd_unet_0_1,314.5,66.1290130615
lpd_unet_0_1,351.0,1.68726074696
lpd_unet_0_1,389.75,43.8365631104
lpd_unet_0_1,247.714285714,42.5958786011
lpd_unet_0_1,240.75,2.01334834099
lpd_unet_0_1,237.555555556,107.00994873
lpd_unet_0_1,242.1,2.86207914352
lpd_unet_0_1,304.181818182,25.3944625854
lpd_unet_0_1,297.909090909,33.8953590393
lpd_unet_0_1,355.727272727,5.70952033997
lpd_unet_0_1,311.636363636,24.3374214172
lpd_unet_0_1,284.181818182,12.384185791
lpd_unet_0_1,219.272727273,20.4432353973
lpd_unet_0_1,143.363636364,20.3404178619
lpd_unet_0_1,127.285714286,3.85140061378
lpd_unet_0_1,67.4285714286,47.9400253296
lpd_unet_0_1,58.5714285714,129.259750366
lpd_unet_0_1,88.5,15.9999990463
lpd_unet_0_1,35.0,29.998260815916666
lpd_unet_0_1,10.0,9.854471479142857
lpd_unet_0_1,51.5,30.9998931885
lpd_unet_0_1,86.0,71.58852005006668
lpd_unet_0_1,83.0,76.9812297821
lpd_unet_0_1,82.0,81.4604072571
lpd_unet_0_1,57.0,72.9007797241
lpd_unet_0_1,15.0,12.761850943941539
lpd_unet_0_1,20.0,20.27561341392778
lpd_unet_0_1,22.0,21.3713488578875
lpd_unet_0_1,49.3333333333,64.4999771118
lpd_unet_0_1,61.2,51.9998397827
lpd_unet_0_1,48.0,52.98317813875
lpd_unet_0_1,44.3333333333,51.49998283385
lpd_unet_0_1,130.0,40.7548522949
lpd_unet_0_1,195.0,145.14639091505
lpd_unet_0_1,275.0,38.6979827881
lpd_unet_0_1,249.0,148.77501678445
lpd_unet_0_1,57.25,73.9626617432
lpd_unet_0_1,179.0,144.256652832
lpd_unet_0_1,194.5,206.10785675055
lpd_unet_0_1,4.0,3.999383717775
lpd_unet_0_1,11.0,11.8551481792
lpd_unet_0_1,31.0,32.4808410009
lpd_unet_0_1,55.6666666667,47.9526062012
lpd_unet_0_1,76.6666666667,99.7653884888
lpd_unet_0_1,95.3333333333,118.344108582
lpd_unet_0_1,94.5,122.514015198
lpd_unet_0_1,80.5,77.5002861022
lpd_unet_0_1,69.5,90.5703048706
lpd_unet_0_1,53.0,48.470678329475
lpd_unet_0_1,41.5,40.97415733335
lpd_unet_0_1,24.5,31.98266220095
lpd_unet_0_1,49.5,57.436092376699996
lpd_unet_0_1,53.5,54.4924259186
lpd_unet_0_1,87.0,65.79794438683334
lpd_unet_0_1,2.0,1.9994058609
lpd_unet_0_1,3.0,2.999341487885
lpd_unet_0_1,9.0,8.698015356064001
lpd_unet_0_1,92.0,109.9778518679
lpd_unet_0_1,88.0,87.8409576416
lpd_unet_0_1,116.0,105.20635986336664
lpd_unet_0_1,64.0,54.77868652345
lpd_unet_0_1,37.0,41.15777460733333
lpd_unet_0_1,25.0,24.654720945790363
lpd_unet_0_1,8.0,7.993736743927142
lpd_unet_0_1,220.25,115.328140259
lpd_unet_0_1,434.5,205.847061157
lpd_unet_0_1,464.25,212.917404175
lpd_unet_0_1,356.5,151.970123291
lpd_unet_0_1,132.25,21.4961929321
lpd_unet_0_1,86.5,94.9956741333
lpd_unet_0_1,119.0,116.955383300825
lpd_unet_0_1,112.5,140.992202759
lpd_unet_0_1,140.0,139.996551514
lpd_unet_0_1,29.0,32.940528324685715
lpd_unet_0_1,51.0,50.9302558899
lpd_unet_0_1,131.0,89.0
lpd_unet_0_1,212.25,156.0
lpd_unet_0_1,260.0,229.0
lpd_unet_0_1,341.25,359.0
lpd_unet_0_1,378.75,343.0
lpd_unet_0_1,400.5,426.0
lpd_unet_0_1,429.25,377.0
lpd_unet_0_1,454.75,380.0
lpd_unet_0_1,457.5,436.0
lpd_unet_0_1,447.0,482.0
lpd_unet_0_1,432.25,389.0
lpd_unet_0_1,400.0,421.0
lpd_unet_0_1,367.75,327.0
lpd_unet_0_1,305.0,339.99945068349996
lpd_unet_0_1,213.5,253.0
lpd_unet_0_1,109.5,116.0
lpd_unet_0_1,5.0,4.99999952316
lpd_unet_0_1,16.5,17.74989128115
lpd_unet_0_1,11.5,7.99773287773
lpd_unet_0_1,41.0,36.3955305933886
lpd_unet_0_1,61.3333333333,42.18081792196667
lpd_unet_0_1,72.6666666667,63.8970985413
lpd_unet_0_1,72.0,69.61872609456667
lpd_unet_0_1,70.3333333333,67.9483337402
lpd_unet_0_1,30.6666666667,40.32385762533333
lpd_unet_0_1,33.5,32.4868183136
lpd_unet_0_1,34.5,37.498273849499995
lpd_unet_0_1,36.5,34.9992713928
lpd_unet_0_1,36.875,19.999874115
lpd_unet_0_1,58.25,57.5968170166
lpd_unet_0_1,21.5,15.963394165
lpd_unet_0_1,28.3333333333,23.999250412
lpd_unet_0_1,73.0,36.5753364563
lpd_unet_0_1,61.0,48.8998787403
lpd_unet_0_1,42.0,41.832650184624995
lpd_unet_0_1,43.5,43.27521769206667
lpd_unet_0_1,6.66666666667,5.99974679947
lpd_unet_0_1,40.25,42.4814491272
lpd_unet_0_1,37.25,24.9890937805
lpd_unet_0_1,30.75,34.99949646
lpd_unet_0_1,44.6666666667,44.9986839294
lpd_unet_0_1,87.6666666667,107.141723633
lpd_unet_0_1,105.0,117.436859131
lpd_unet_0_1,23.5,22.98192310335
lpd_unet_0_1,36.1666666667,32.9974136353
lpd_unet_0_1,36.4,37.9903869629
lpd_unet_0_1,32.6666666667,26.99942684175
lpd_unet_0_1,70.5,90.9670028687
lpd_unet_0_1,150.5,108.859420776
lpd_unet_0_1,71.25,52.49873924255
lpd_unet_0_1,44.0,44.81107521056666
lpd_unet_0_1,34.0,31.199513753266665
lpd_unet_0_1,91.0,90.9999847412
lpd_unet_0_1,15.3333333333,15.9997291565
lpd_unet_0_1,29.25,31.9993228912
lpd_unet_0_1,33.25,47.9989547729
lpd_unet_0_1,16.25,3.4999283552150002
lpd_unet_0_1,58.75,77.9998016357
lpd_unet_0_1,86.25,127.999656677
lpd_unet_0_1,146.25,215.280883789
lpd_unet_0_1,201.5,55.0013427734
lpd_unet_0_1,225.0,39.3869819641
lpd_unet_0_1,247.5,146.258743286
lpd_unet_0_1,257.0,182.519256592
lpd_unet_0_1,265.75,102.212356567
lpd_unet_0_1,278.0,196.877410888875
lpd_unet_0_1,199.25,83.9059829712
lpd_unet_0_1,147.75,182.852401733
lpd_unet_0_1,73.6666666667,120.999465942
lpd_unet_0_1,39.0,42.478819847100006
lpd_unet_0_1,32.3333333333,43.9989051819
lpd_unet_0_1,9.5,10.9994182587
lpd_unet_0_1,77.25,61.961574554449996
lpd_unet_0_1,93.5,70.9777145386
lpd_unet_0_1,30.0,30.38615689958571
lpd_unet_0_1,102.0,123.999725342
lpd_unet_0_1,160.666666667,134.973342896
lpd_unet_0_1,307.666666667,269.634368896
lpd_unet_0_1,385.666666667,339.574829102
lpd_unet_0_1,437.333333333,403.581390381
lpd_unet_0_1,514.0,361.45547485350005
lpd_unet_0_1,568.333333333,499.41003418
lpd_unet_0_1,605.0,572.893493652
lpd_unet_0_1,687.666666667,600.222045898
lpd_unet_0_1,739.333333333,619.469543457
lpd_unet_0_1,736.0,597.670410156
lpd_unet_0_1,776.0,608.868774414
lpd_unet_0_1,740.333333333,631.800842285
lpd_unet_0_1,662.0,510.544219971
lpd_unet_0_1,536.333333333,364.314208984
lpd_unet_0_1,393.0,233.699249268
lpd_unet_0_1,316.333333333,170.867034912
lpd_unet_0_1,265.333333333,156.273162842
lpd_unet_0_1,143.666666667,93.2292556763
lpd_unet_0_1,59.5,76.65911102293332
lpd_unet_0_1,46.6666666667,53.9162101746
lpd_unet_0_1,26.5,31.48952293395
lpd_unet_0_1,43.0,42.98681259153333
lpd_unet_0_1,66.0,68.54154205319999
lpd_unet_0_1,36.0,32.708678245575
lpd_unet_0_1,18.3333333333,4.9998588562
lpd_unet_0_1,79.3333333333,98.5537872314
lpd_unet_0_1,31.6666666667,31.9998683929
lpd_unet_0_1,92.3333333333,77.3805389404
lpd_unet_0_1,128.0,98.41137313819999
lpd_unet_0_1,154.333333333,119.980651855
lpd_unet_0_1,89.6666666667,74.68586730954999
lpd_unet_0_1,19.5,25.66131273906667
lpd_unet_0_1,143.0,119.0490913391
lpd_unet_0_1,133.333333333,103.0
lpd_unet_0_1,85.6666666667,86.0
lpd_unet_0_1,63.6666666667,51.998664856
lpd_unet_0_1,51.6666666667,56.9997024536
lpd_unet_0_1,75.0,62.99935150145
lpd_unet_0_1,203.25,121.72568512
lpd_unet_0_1,188.25,42.1706619263
lpd_unet_0_1,111.0,121.106910706
lpd_unet_0_1,16.3333333333,18.4902586937
lpd_unet_0_1,43.3333333333,30.42651462555
lpd_unet_0_1,134.75,114.0
lpd_unet_0_1,242.25,235.0
lpd_unet_0_1,316.5,394.0
lpd_unet_0_1,334.8,409.0
lpd_unet_0_1,421.6,478.0
lpd_unet_0_1,646.5,593.0
lpd_unet_0_1,720.75,709.0
lpd_unet_0_1,753.5,761.0
lpd_unet_0_1,826.5,717.0
lpd_unet_0_1,806.5,884.0
lpd_unet_0_1,736.5,638.0
lpd_unet_0_1,697.5,821.0
lpd_unet_0_1,659.25,733.0
lpd_unet_0_1,560.25,545.0
lpd_unet_0_1,466.25,484.0
lpd_unet_0_1,347.25,354.0
lpd_unet_0_1,215.5,286.0
lpd_unet_0_1,130.666666667,154.0
lpd_unet_0_1,62.0,63.225388526900005
lpd_unet_0_1,76.0,75.6267852783
lpd_unet_0_1,99.0,14.0871734619
lpd_unet_0_1,182.0,38.7212524414
lpd_unet_0_1,323.0,118.047164917
lpd_unet_0_1,472.0,147.502197266
lpd_unet_0_1,506.0,253.268829346
lpd_unet_0_1,529.0,429.41427612300004
lpd_unet_0_1,534.0,349.562194824
lpd_unet_0_1,567.0,398.71206665
lpd_unet_0_1,441.0,266.033996582
lpd_unet_0_1,445.0,302.54385376
lpd_unet_0_1,561.0,409.57409668
lpd_unet_0_1,589.0,481.60345459
lpd_unet_0_1,575.0,385.045349121
lpd_unet_0_1,523.0,357.22454834
lpd_unet_0_1,350.0,328.96917724599996
lpd_unet_0_1,383.0,335.55947876
lpd_unet_0_1,358.0,256.965484619
lpd_unet_0_1,327.0,161.948135376
lpd_unet_0_1,290.0,170.714767456
lpd_unet_0_1,21.3333333333,14.9999780655
lpd_unet_0_1,56.75,66.7580184937
lpd_unet_0_1,68.75,79.2704238892
lpd_unet_0_1,70.0,65.24338340759999
lpd_unet_0_1,62.5,62.9275054932
lpd_unet_0_1,49.75,46.9905166626
lpd_unet_0_1,198.0,197.962760925
lpd_unet_0_1,128.5,174.1441383365
lpd_unet_0_1,176.5,28.0
lpd_unet_0_1,177.5,41.0
lpd_unet_0_1,205.0,76.97867584229999
lpd_unet_0_1,189.5,37.0
lpd_unet_0_1,201.0,49.0
lpd_unet_0_1,207.5,33.0
lpd_unet_0_1,175.0,25.0
lpd_unet_0_1,192.0,241.78724670399998
lpd_unet_0_1,160.5,4.0
lpd_unet_0_1,279.0,278.99899292
lpd_unet_0_1,291.0,290.998779297
lpd_unet_0_1,263.0,262.999237061
lpd_unet_0_1,299.0,298.999633789
lpd_unet_0_1,285.0,212.96571350099998
lpd_unet_0_1,267.0,266.999633789
lpd_unet_0_1,230.0,229.999237061
lpd_unet_0_1,216.0,161.3436927795
lpd_unet_0_1,189.0,188.995620728
lpd_unet_0_1,187.0,186.956130981
lpd_unet_0_1,159.0,130.4411354065
lpd_unet_0_1,148.0,147.573394775
lpd_unet_0_1,166.0,165.620727539
lpd_unet_0_1,106.0,105.972503662
lpd_unet_0_1,19.3333333333,11.9999713898
lpd_unet_0_1,24.75,22.4910402298
lpd_unet_0_1,31.5,20.9993019104
lpd_unet_0_1,23.75,19.9896793365
lpd_unet_0_1,69.75,55.9928588867
lpd_unet_0_1,78.25,60.9691200256
lpd_unet_0_1,83.75,115.862243652
lpd_unet_0_1,94.25,123.700767517
lpd_unet_0_1,71.0,58.9750442505
lpd_unet_0_1,35.5,44.9999694824
lpd_unet_0_1,36.25,46.1387138367
lpd_unet_0_1,80.75,95.9866485596
lpd_unet_0_1,57.5,71.9989929199
lpd_unet_0_1,93.6666666667,93.2400283813
lpd_unet_0_1,133.666666667,64.2279891968
lpd_unet_0_1,146.333333333,91.5529785156
lpd_unet_0_1,49.0,46.1366672516
lpd_unet_0_1,65.0,64.9560699463
lpd_unet_0_1,45.0,53.9797668457
lpd_unet_0_1,53.75,46.9824409485
lpd_unet_0_1,12.5,11.498022556325001
lpd_unet_0_1,90.0,82.73651123045
lpd_unet_0_1,227.0,124.177078247
lpd_unet_0_1,272.0,148.693588257
lpd_unet_0_1,265.0,133.425003052
lpd_unet_0_1,162.0,75.6187362671
lpd_unet_0_1,67.0,72.7806930542
lpd_unet_0_1,45.3333333333,30.9673957825
lpd_unet_0_1,11.25,24.0
lpd_unet_0_1,47.5,41.99987602235
lpd_unet_0_1,48.5,41.0
lpd_unet_0_1,30.5,26.0
lpd_unet_0_1,212.0,153.841339111
lpd_unet_0_1,169.0,82.96621449803334
lpd_unet_0_1,79.5,3.25052404404
lpd_unet_0_1,34.25,41.9998435974
lpd_unet_0_1,26.3333333333,33.994489669800004
lpd_unet_0_1,20.5,14.9874944687
lpd_unet_0_1,17.5,12.994425296749998
lpd_unet_0_1,8.5,4.9964261055
lpd_unet_0_1,26.6666666667,18.9296016693
lpd_unet_0_1,49.6666666667,53.182514190700005
lpd_unet_0_1,45.6666666667,43.4227218628
lpd_unet_0_1,27.3333333333,9.94081115723
lpd_unet_0_1,52.6666666667,49.99383163455
lpd_unet_0_1,39.6666666667,29.9999542236
lpd_unet_0_1,14.3333333333,12.9999046326
lpd_unet_0_1,179.666666667,140.836334229
lpd_unet_0_1,268.333333333,54.0333213806
lpd_unet_0_1,55.0,68.44670486449999
lpd_unet_0_1,6.5,6.49837231636
lpd_unet_0_1,39.5,50.49952316285
lpd_unet_0_1,38.25,23.9892463684
lpd_unet_0_1,61.25,72.9112625122
lpd_unet_0_1,85.75,87.734046936
lpd_unet_0_1,98.75,89.7728424072
lpd_unet_0_1,97.25,122.105857849
lpd_unet_0_1,66.75,66.8928070068
lpd_unet_0_1,41.3333333333,16.9872779846
lpd_unet_0_1,84.0,110.972084045
lpd_unet_0_1,108.666666667,117.940010071
lpd_unet_0_1,149.0,200.852615356
lpd_unet_0_1,163.666666667,120.823776245
lpd_unet_0_1,159.666666667,107.806770325
lpd_unet_0_1,190.333333333,141.828445435
lpd_unet_0_1,260.333333333,177.786270142
lpd_unet_0_1,304.0,255.767364502
lpd_unet_0_1,272.666666667,191.712860107
lpd_unet_0_1,233.0,161.447418213
lpd_unet_0_1,243.0,175.241821289
lpd_unet_0_1,253.0,305.39151001
