Annotation,Modality,Value
large,sequential,0.0
large,0.1,0.006250697635116598
large,0.2,0.009844232391999198
large,0.3,0.010347634630036299
large,0.4,0.009664656343847
large,0.5,0.009370905376332998
large,0.6,0.0114350145906899
large,0.7,0.0089936191707864
large,0.8,0.0116757100010553
large,0.9,0.009911916666848
large,end-to-end,0.010658873107155
small,sequential,0.0
small,0.1,0.00017784142347179992
small,0.2,2.0585439645099887e-05
small,0.3,0.0003712062677045996
small,0.4,0.0005549222775716998
small,0.5,0.00023972269700489992
small,0.6,0.00022403833593139964
small,0.7,0.00022013164190469968
small,0.8,0.00022334216570219986
small,0.9,0.0001789714158903998
small,end-to-end,-0.00012827090555820025
