Modality,Annotation Size,PSNR_loss
lpd_unet_0_1,52.75,39.625617981
lpd_unet_0_1,71.5,40.4044723511
lpd_unet_0_1,30.25,39.12508773805
lpd_unet_0_1,30.3333333333,34.69504674273333
lpd_unet_0_1,28.0,33.91919930773334
lpd_unet_0_1,20.25,33.9501495361
lpd_unet_0_1,9.33333333333,32.7844848633
lpd_unet_0_1,26.0,36.4389944076625
lpd_unet_0_1,21.0,35.109696648345455
lpd_unet_0_1,24.0,36.43052539826
lpd_unet_0_1,40.75,35.0693740845
lpd_unet_0_1,38.5,36.35274887084
lpd_unet_0_1,20.75,36.2244262695
lpd_unet_0_1,19.0,36.4456952413
lpd_unet_0_1,6.0,35.052243804919996
lpd_unet_0_1,16.0,35.00934677123
lpd_unet_0_1,29.5,33.6738395691
lpd_unet_0_1,37.5,35.185148239099995
lpd_unet_0_1,17.0,35.46699523925
lpd_unet_0_1,13.0,35.83577219646667
lpd_unet_0_1,52.0,32.177316029883336
lpd_unet_0_1,40.0,34.8347363471875
lpd_unet_0_1,80.0,35.36580403646666
lpd_unet_0_1,50.0,35.120936711633334
lpd_unet_0_1,19.6666666667,35.683084487900004
lpd_unet_0_1,29.1666666667,33.389705658
lpd_unet_0_1,45.25,33.0416088104
lpd_unet_0_1,63.0,33.94516754153334
lpd_unet_0_1,31.3333333333,33.38361930845
lpd_unet_0_1,124.0,30.9126567841
lpd_unet_0_1,114.0,34.2666753133
lpd_unet_0_1,127.666666667,31.053188324
lpd_unet_0_1,203.0,30.2028388977
lpd_unet_0_1,240.333333333,29.1364784241
lpd_unet_0_1,147.0,32.808729171799996
lpd_unet_0_1,50.6666666667,32.0628585815
lpd_unet_0_1,18.0,33.53760051726667
lpd_unet_0_1,56.5,33.8470649719
lpd_unet_0_1,97.0,31.7237691879
lpd_unet_0_1,146.5,30.3068161011
lpd_unet_0_1,107.5,29.756313324
lpd_unet_0_1,48.3333333333,35.2435188293
lpd_unet_0_1,191.0,33.3295033773
lpd_unet_0_1,208.0,34.6623840332
lpd_unet_0_1,47.0,35.69756698608
lpd_unet_0_1,32.0,33.83763027191666
lpd_unet_0_1,121.0,34.9906139374
lpd_unet_0_1,17.6666666667,34.8520278931
lpd_unet_0_1,23.0,36.31845035554
lpd_unet_0_1,113.75,26.6833705902
lpd_unet_0_1,148.75,26.7841758728
lpd_unet_0_1,201.75,28.5502071381
lpd_unet_0_1,239.75,27.0464630127
lpd_unet_0_1,289.5,30.7623271942
lpd_unet_0_1,248.0,27.4209957123
lpd_unet_0_1,104.0,28.9052371979
lpd_unet_0_1,94.0,35.8522005081
lpd_unet_0_1,77.0,35.41531219484
lpd_unet_0_1,211.0,30.77549743655
lpd_unet_0_1,174.75,27.247882843
lpd_unet_0_1,406.5,27.8842430115
lpd_unet_0_1,471.75,31.4674663544
lpd_unet_0_1,365.25,26.7977905273
lpd_unet_0_1,158.75,28.2170410156
lpd_unet_0_1,153.0,32.32411003113334
lpd_unet_0_1,148.333333333,29.9579734802
lpd_unet_0_1,145.5,29.2316513062
lpd_unet_0_1,140.5,32.7428817749
lpd_unet_0_1,101.0,28.4224185944
lpd_unet_0_1,141.0,29.535868644700003
lpd_unet_0_1,172.25,24.140329361
lpd_unet_0_1,169.5,27.60430336
lpd_unet_0_1,141.75,26.6100978851
lpd_unet_0_1,85.0,32.0506772995
lpd_unet_0_1,59.0,34.303715705866665
lpd_unet_0_1,12.0,34.68257289462222
lpd_unet_0_1,7.0,37.424373081742864
lpd_unet_0_1,14.0,35.3932252884
lpd_unet_0_1,27.0,33.775133132942855
lpd_unet_0_1,99.3333333333,38.2789764404
lpd_unet_0_1,135.666666667,37.0049247742
lpd_unet_0_1,180.5,39.311958313000005
lpd_unet_0_1,188.75,37.2951507568
lpd_unet_0_1,221.75,37.5546264648
lpd_unet_0_1,228.5,37.3409957886
lpd_unet_0_1,239.0,42.1611862183
lpd_unet_0_1,251.25,42.3823165894
lpd_unet_0_1,231.0,40.1389732361
lpd_unet_0_1,231.75,38.220489502
lpd_unet_0_1,222.25,37.0476760864
lpd_unet_0_1,217.25,36.5491027832
lpd_unet_0_1,215.75,36.8704681396
lpd_unet_0_1,206.5,36.3816757202
lpd_unet_0_1,186.75,37.2373466492
lpd_unet_0_1,162.25,39.3323554993
lpd_unet_0_1,146.75,39.6715393066
lpd_unet_0_1,130.75,39.4735641479
lpd_unet_0_1,33.0,34.58372211455
lpd_unet_0_1,18.25,36.1493301392
lpd_unet_0_1,160.0,36.60363388063333
lpd_unet_0_1,190.0,35.78773880005
lpd_unet_0_1,245.0,41.9996261597
lpd_unet_0_1,181.0,39.18483161925
lpd_unet_0_1,210.5,37.249645233150005
lpd_unet_0_1,185.0,38.1821937561
lpd_unet_0_1,135.5,38.3092765808
lpd_unet_0_1,166.5,38.945854187
lpd_unet_0_1,176.75,41.221446991
lpd_unet_0_1,136.75,40.2972106934
lpd_unet_0_1,116.5,42.1577682495
lpd_unet_0_1,89.25,35.8788175583
lpd_unet_0_1,52.5,41.095941543600006
lpd_unet_0_1,40.5,40.1441898346
lpd_unet_0_1,78.0,38.78815460205
lpd_unet_0_1,112.0,37.8091278076
lpd_unet_0_1,122.0,39.0536403656
lpd_unet_0_1,134.0,33.9125595093
lpd_unet_0_1,150.0,31.654208501200003
lpd_unet_0_1,180.0,33.8864212036
lpd_unet_0_1,186.0,33.5210399628
lpd_unet_0_1,202.0,40.0443840027
lpd_unet_0_1,194.0,35.0789260864
lpd_unet_0_1,214.0,38.0428848267
lpd_unet_0_1,54.5,40.343355178799996
lpd_unet_0_1,69.25,35.8855333328
lpd_unet_0_1,83.25,39.9891090393
lpd_unet_0_1,69.0,36.046648025500005
lpd_unet_0_1,38.0,31.79752082824
lpd_unet_0_1,54.0,34.81733818052
lpd_unet_0_1,95.5,33.56238937375
lpd_unet_0_1,161.0,32.593437194799996
lpd_unet_0_1,314.5,30.9642372131
lpd_unet_0_1,351.0,31.5739631653
lpd_unet_0_1,389.75,31.8704204559
lpd_unet_0_1,247.714285714,31.8769817352
lpd_unet_0_1,240.75,31.3288002014
lpd_unet_0_1,237.555555556,31.7413921356
lpd_unet_0_1,242.1,31.9427642822
lpd_unet_0_1,304.181818182,31.9790859222
lpd_unet_0_1,297.909090909,31.8016319275
lpd_unet_0_1,355.727272727,31.682062149
lpd_unet_0_1,311.636363636,30.049407959
lpd_unet_0_1,284.181818182,30.3298988342
lpd_unet_0_1,219.272727273,30.7525558472
lpd_unet_0_1,143.363636364,30.6735916138
lpd_unet_0_1,127.285714286,30.9253787994
lpd_unet_0_1,67.4285714286,31.411687851
lpd_unet_0_1,58.5714285714,31.3622837067
lpd_unet_0_1,88.5,32.5079612732
lpd_unet_0_1,35.0,33.19636472065
lpd_unet_0_1,10.0,34.98976298742857
lpd_unet_0_1,51.5,31.3053436279
lpd_unet_0_1,86.0,32.940426508600005
lpd_unet_0_1,83.0,33.0702610016
lpd_unet_0_1,82.0,34.79577445985
lpd_unet_0_1,57.0,32.38475799565
lpd_unet_0_1,15.0,35.067345252399996
lpd_unet_0_1,20.0,35.01623355018332
