PSNR_loss,BCE_loss,TP,FP,TN,FN,Sensitivity,Specificity,DICE,C
34.347471264997075,0.006073434401829105,22.996652763150273,104.65938494522224,261932.18039243092,84.16502324171385,0.08410203232957418,0.9996004648679236,0.0738727947624458,0_1
34.03625691298226,0.0064616888082686145,19.095962948947662,77.37018583848462,261960.92540008025,86.61123831636291,0.07363542271573657,0.9997046354106195,0.069061661311631,0_2
33.64771656177792,0.006785058677817034,19.478844781599662,123.58638903683116,261913.86369271317,87.07294988469452,0.08522376132895967,0.9995282350679049,0.0693189746963355,0_3
33.345351285334566,0.006847236836852636,23.288382063074675,140.7381832905208,261896.08932337526,83.88592413179494,0.09313036233437068,0.9994627739482732,0.07603163249672899,0_4
32.932106507456055,0.006578814893974096,15.875533606092779,77.04520124015701,261962.01875999337,89.06193950493002,0.06777237831917013,0.9997059114228496,0.06312792030587207,0_5
32.49534947860169,0.006821958919728426,20.468123590600886,94.03267839227163,261942.76129479567,86.73991299432956,0.08393842520316717,0.9996410608551155,0.07569151359082783,0_6
31.818748208098647,0.00645442462156009,21.994083544484024,116.89932651170264,261921.7003921384,83.40755071341808,0.09940335542222031,0.9995537776666426,0.08384791400643798,0_7
30.784035369609345,0.0068343066287938296,16.70840974097768,75.29661885125554,261964.72525957506,87.27190680587789,0.07572219095839237,0.9997125528818347,0.06870489235648077,0_8
29.384938018889603,0.006601651295706418,23.156077626771946,133.06005921803805,261905.3929301983,82.39201247600106,0.11330764359222437,0.9994921227818602,0.0873130218661512,0_9
16.849642912341828,0.006633822842462873,20.112453124414092,67.88043304084765,261969.48782696467,86.52060370457167,0.09385707206928479,0.9997408880112253,0.08953204298215055,1
34.4060471193875,0.0049120544832979285,22.13904751231004,177.76513618032695,261859.7502301853,84.34648331361923,0.09577687983042125,0.9993214973177279,0.06791818356873532,sequential
