Modality,FN,Count
lpd_unet_0_1,2.00,375
lpd_unet_0_1,117.16,146
lpd_unet_0_1,232.32,68
lpd_unet_0_1,347.48,40
lpd_unet_0_1,462.65,22
lpd_unet_0_1,577.81,15
lpd_unet_0_1,692.97,7
lpd_unet_0_1,808.13,6
lpd_unet_0_1,923.29,5
lpd_unet_0_1,1038.45,1
lpd_unet_0_2,2.00,372
lpd_unet_0_2,117.16,130
lpd_unet_0_2,232.32,73
lpd_unet_0_2,347.48,45
lpd_unet_0_2,462.65,25
lpd_unet_0_2,577.81,18
lpd_unet_0_2,692.97,10
lpd_unet_0_2,808.13,7
lpd_unet_0_2,923.29,5
lpd_unet_0_2,1038.45,1
lpd_unet_0_3,2.00,361
lpd_unet_0_3,117.16,138
lpd_unet_0_3,232.32,69
lpd_unet_0_3,347.48,46
lpd_unet_0_3,462.65,27
lpd_unet_0_3,577.81,22
lpd_unet_0_3,692.97,8
lpd_unet_0_3,808.13,8
lpd_unet_0_3,923.29,3
lpd_unet_0_3,1038.45,1
lpd_unet_0_4,2.00,369
lpd_unet_0_4,117.16,147
lpd_unet_0_4,232.32,68
lpd_unet_0_4,347.48,38
lpd_unet_0_4,462.65,23
lpd_unet_0_4,577.81,23
lpd_unet_0_4,692.97,7
lpd_unet_0_4,808.13,6
lpd_unet_0_4,923.29,3
lpd_unet_0_4,1038.45,1
lpd_unet_0_5,2.00,358
lpd_unet_0_5,117.16,146
lpd_unet_0_5,232.32,63
lpd_unet_0_5,347.48,42
lpd_unet_0_5,462.65,38
lpd_unet_0_5,577.81,16
lpd_unet_0_5,692.97,8
lpd_unet_0_5,808.13,8
lpd_unet_0_5,923.29,4
lpd_unet_0_5,1038.45,3
lpd_unet_0_6,2.00,370
lpd_unet_0_6,117.16,141
lpd_unet_0_6,232.32,66
lpd_unet_0_6,347.48,37
lpd_unet_0_6,462.65,35
lpd_unet_0_6,577.81,15
lpd_unet_0_6,692.97,9
lpd_unet_0_6,808.13,5
lpd_unet_0_6,923.29,5
lpd_unet_0_6,1038.45,2
lpd_unet_0_7,2.00,382
lpd_unet_0_7,117.16,137
lpd_unet_0_7,232.32,58
lpd_unet_0_7,347.48,33
lpd_unet_0_7,462.65,29
lpd_unet_0_7,577.81,17
lpd_unet_0_7,692.97,14
lpd_unet_0_7,808.13,8
lpd_unet_0_7,923.29,4
lpd_unet_0_7,1038.45,0
lpd_unet_0_8,2.00,378
lpd_unet_0_8,117.16,121
lpd_unet_0_8,232.32,69
lpd_unet_0_8,347.48,39
lpd_unet_0_8,462.65,36
lpd_unet_0_8,577.81,15
lpd_unet_0_8,692.97,18
lpd_unet_0_8,808.13,6
lpd_unet_0_8,923.29,3
lpd_unet_0_8,1038.45,0
lpd_unet_0_9,2.00,388
lpd_unet_0_9,117.16,132
lpd_unet_0_9,232.32,69
lpd_unet_0_9,347.48,27
lpd_unet_0_9,462.65,26
lpd_unet_0_9,577.81,22
lpd_unet_0_9,692.97,12
lpd_unet_0_9,808.13,7
lpd_unet_0_9,923.29,2
lpd_unet_0_9,1038.45,0
lpd_unet_1,2.00,390
lpd_unet_1,117.16,123
lpd_unet_1,232.32,55
lpd_unet_1,347.48,42
lpd_unet_1,462.65,26
lpd_unet_1,577.81,19
lpd_unet_1,692.97,17
lpd_unet_1,808.13,8
lpd_unet_1,923.29,2
lpd_unet_1,1038.45,0
lpd_unet_sequential,2.00,384
lpd_unet_sequential,117.16,116
lpd_unet_sequential,232.32,64
lpd_unet_sequential,347.48,36
lpd_unet_sequential,462.65,42
lpd_unet_sequential,577.81,16
lpd_unet_sequential,692.97,15
lpd_unet_sequential,808.13,6
lpd_unet_sequential,923.29,3
lpd_unet_sequential,1038.45,3
