PSNR_loss,BCE_loss,TP,FP,TN,FN,Sensitivity,Specificity,DICE,C
33.44369409173168,0.026401046452302557,140.79950182960684,218.9946490971933,261485.87962933086,298.3277027552483,0.36348764831802216,0.9991632412255592,0.34153884501190246,0_1
33.203924689437564,0.029994581209185172,117.36396859192736,162.38141981350967,261544.1020864777,320.1553856649423,0.3073267427583889,0.9993795122225662,0.3095672035413124,0_2
32.90808703758804,0.030497983447222283,111.74181575217004,217.89324233680247,261493.74457575547,320.6211512150808,0.3100898473235492,0.9991673744409203,0.2887562131700094,0_3
32.65189014072879,0.029815005161032915,135.30410532016273,242.31015033526785,261462.36209534155,304.02418517345797,0.35382418826197437,0.9990740607443649,0.32378912216300404,0_4
32.235842422413775,0.02952125419351897,99.09575967452642,150.44233354304347,261564.58109806653,329.8828255167456,0.28408067307360557,0.9994252275111083,0.2785639380171195,0_5
31.834247550674995,0.03158536340787582,120.21487812420173,178.65176080959841,261519.7733742557,325.36209480391994,0.3184984044880399,0.9993173749658573,0.30707824283904883,0_6
31.130790741695918,0.029143967987972395,122.35597127121248,206.9064507974973,261497.5834918389,317.1559475527809,0.32874500819239133,0.9992093797973849,0.31501489230701424,0_7
30.03960192337517,0.031826058818241215,93.27784234667267,171.81143373702227,261553.7427386538,325.16979574652316,0.28731401724719174,0.9993435862691471,0.2702298737554918,0_8
28.56453419376499,0.030062265484033956,132.44648649591366,222.74126209722124,261486.22259874595,302.59190545581043,0.3460417583377341,0.9991489000731426,0.31774708393945206,0_9
16.39878844452854,0.030809221924340952,116.45663812100624,129.7879680636113,261577.48489179183,320.2727873816381,0.3158753032295213,0.999504084131823,0.3318835431078104,1
33.7337779628777,0.020150348817185977,125.45697808748277,280.2989806689139,261427.90705165034,310.33805255780817,0.34842773750103945,0.9989290422542584,0.2805395402950953,sequential
