Modality,Annotation Size,TN
lpd_unet_0_1,52.75,262094.78125
lpd_unet_0_1,71.5,262063.15625
lpd_unet_0_1,30.25,262088.8203125
lpd_unet_0_1,30.3333333333,262021.44270833334
lpd_unet_0_1,28.0,262091.1328125
lpd_unet_0_1,20.25,262106.40625
lpd_unet_0_1,9.33333333333,262126.34375
lpd_unet_0_1,26.0,262045.2109375
lpd_unet_0_1,21.0,262093.18039772726
lpd_unet_0_1,24.0,262013.0625
lpd_unet_0_1,40.75,262095.28125
lpd_unet_0_1,38.5,262086.184375
lpd_unet_0_1,20.75,262106.9375
lpd_unet_0_1,19.0,262057.7421875
lpd_unet_0_1,6.0,261970.978125
lpd_unet_0_1,16.0,262098.6953125
lpd_unet_0_1,29.5,262128.40625
lpd_unet_0_1,37.5,262086.1875
lpd_unet_0_1,17.0,262021.2375
lpd_unet_0_1,13.0,262116.11979166666
lpd_unet_0_1,52.0,262016.15625
lpd_unet_0_1,40.0,262065.1953125
lpd_unet_0_1,80.0,261996.82291666666
lpd_unet_0_1,50.0,262054.73958333334
lpd_unet_0_1,19.6666666667,261957.94270833334
lpd_unet_0_1,29.1666666667,261981.4375
lpd_unet_0_1,45.25,262036.28125
lpd_unet_0_1,63.0,261974.25520833334
lpd_unet_0_1,31.3333333333,261888.2890625
lpd_unet_0_1,124.0,262007.9375
lpd_unet_0_1,114.0,262007.80208333334
lpd_unet_0_1,127.666666667,262022.78125
lpd_unet_0_1,203.0,261929.2578125
lpd_unet_0_1,240.333333333,261874.234375
lpd_unet_0_1,147.0,262045.8046875
lpd_unet_0_1,50.6666666667,262042.28125
lpd_unet_0_1,18.0,261952.04947916666
lpd_unet_0_1,56.5,261608.953125
lpd_unet_0_1,97.0,261748.484375
lpd_unet_0_1,146.5,261933.65625
lpd_unet_0_1,107.5,261991.203125
lpd_unet_0_1,48.3333333333,262064.875
lpd_unet_0_1,191.0,261940.14583333334
lpd_unet_0_1,208.0,261822.0625
lpd_unet_0_1,47.0,262084.00625
lpd_unet_0_1,32.0,262083.6328125
lpd_unet_0_1,121.0,261935.796875
lpd_unet_0_1,17.6666666667,261983.046875
lpd_unet_0_1,23.0,262045.7109375
lpd_unet_0_1,113.75,262014.4375
lpd_unet_0_1,148.75,261993.5625
lpd_unet_0_1,201.75,261943.53125
lpd_unet_0_1,239.75,261812.03125
lpd_unet_0_1,289.5,261897.265625
lpd_unet_0_1,248.0,261872.078125
lpd_unet_0_1,104.0,262008.5625
lpd_unet_0_1,94.0,261999.6171875
lpd_unet_0_1,77.0,262026.315625
lpd_unet_0_1,211.0,261881.125
lpd_unet_0_1,174.75,261905.765625
lpd_unet_0_1,406.5,261618.796875
lpd_unet_0_1,471.75,261671.453125
lpd_unet_0_1,365.25,261795.78125
lpd_unet_0_1,158.75,261837.015625
lpd_unet_0_1,153.0,261963.84895833334
lpd_unet_0_1,148.333333333,261983.1875
lpd_unet_0_1,145.5,261993.671875
lpd_unet_0_1,140.5,262013.765625
lpd_unet_0_1,101.0,261886.84375
lpd_unet_0_1,141.0,261844.6015625
lpd_unet_0_1,172.25,261762.140625
lpd_unet_0_1,169.5,261777.078125
lpd_unet_0_1,141.75,261815.171875
lpd_unet_0_1,85.0,261746.25390625
lpd_unet_0_1,59.0,261627.86197916666
lpd_unet_0_1,12.0,261983.32118055556
lpd_unet_0_1,7.0,262065.9888392857
lpd_unet_0_1,14.0,262048.378125
lpd_unet_0_1,27.0,262003.49330357142
lpd_unet_0_1,99.3333333333,262059.796875
lpd_unet_0_1,135.666666667,262042.59375
lpd_unet_0_1,180.5,261910.953125
lpd_unet_0_1,188.75,261990.859375
lpd_unet_0_1,221.75,261885.71875
lpd_unet_0_1,228.5,261889.640625
lpd_unet_0_1,239.0,261907.828125
lpd_unet_0_1,251.25,261880.921875
lpd_unet_0_1,231.0,261876.859375
lpd_unet_0_1,231.75,261902.15625
lpd_unet_0_1,222.25,261933.3125
lpd_unet_0_1,217.25,261930.609375
lpd_unet_0_1,215.75,261933.015625
lpd_unet_0_1,206.5,261884.296875
lpd_unet_0_1,186.75,261935.1875
lpd_unet_0_1,162.25,261951.34375
lpd_unet_0_1,146.75,261958.8125
lpd_unet_0_1,130.75,261979.78125
lpd_unet_0_1,33.0,262088.845703125
lpd_unet_0_1,18.25,262125.609375
lpd_unet_0_1,160.0,261819.29166666666
lpd_unet_0_1,190.0,261896.796875
lpd_unet_0_1,245.0,261850.984375
lpd_unet_0_1,181.0,261890.5859375
lpd_unet_0_1,210.5,261691.671875
lpd_unet_0_1,185.0,261978.140625
lpd_unet_0_1,135.5,261959.203125
lpd_unet_0_1,166.5,261868.40625
lpd_unet_0_1,176.75,261904.15625
lpd_unet_0_1,136.75,261938.640625
lpd_unet_0_1,116.5,262008.171875
lpd_unet_0_1,89.25,262074.9765625
lpd_unet_0_1,52.5,262091.8984375
