Modality,Annotation Size,TP
lpd_unet_0_1,52.75,0.000268326984951
lpd_unet_0_1,71.5,0.00275657116435
lpd_unet_0_1,30.25,0.034467567980758
lpd_unet_0_1,30.3333333333,0.006803763535585333
lpd_unet_0_1,28.0,0.010763745120739507
lpd_unet_0_1,20.25,0.0053417820599729994
lpd_unet_0_1,9.33333333333,0.00216913130134
lpd_unet_0_1,26.0,0.011004283959891437
lpd_unet_0_1,21.0,0.024695149444886346
lpd_unet_0_1,24.0,0.008973476140991745
lpd_unet_0_1,40.75,0.00432822760195
lpd_unet_0_1,38.5,0.00153080575976231
lpd_unet_0_1,20.75,0.00593009730801
lpd_unet_0_1,19.0,0.017515950609479834
lpd_unet_0_1,6.0,1.1428154331213773
lpd_unet_0_1,16.0,0.04397287334829253
lpd_unet_0_1,29.5,0.00010423082096013922
lpd_unet_0_1,37.5,0.6349380996268096
lpd_unet_0_1,17.0,0.07816459121989695
lpd_unet_0_1,13.0,0.0014774977465245866
lpd_unet_0_1,52.0,3.6957631287281405
lpd_unet_0_1,40.0,0.008010000996114314
lpd_unet_0_1,80.0,0.0017848323720200006
lpd_unet_0_1,50.0,0.07808791478450212
lpd_unet_0_1,19.6666666667,0.0219960239616533
lpd_unet_0_1,29.1666666667,1.66769780208e-07
lpd_unet_0_1,45.25,0.00756509826080665
lpd_unet_0_1,63.0,3.503537399637281
lpd_unet_0_1,31.3333333333,2.314235723591e-05
lpd_unet_0_1,124.0,0.00152932095807
lpd_unet_0_1,114.0,0.5928479296464
lpd_unet_0_1,127.666666667,17.2790603638
lpd_unet_0_1,203.0,52.81439963247644
lpd_unet_0_1,240.333333333,121.653404236
lpd_unet_0_1,147.0,1.339006721973
lpd_unet_0_1,50.6666666667,0.00177318090573
lpd_unet_0_1,18.0,2.5430620155269645
lpd_unet_0_1,56.5,0.0324551910162
lpd_unet_0_1,97.0,20.707385707666152
lpd_unet_0_1,146.5,116.181037903
lpd_unet_0_1,107.5,81.1038970947
lpd_unet_0_1,48.3333333333,0.125804781914
lpd_unet_0_1,191.0,41.460072738293285
lpd_unet_0_1,208.0,134.833404541
lpd_unet_0_1,47.0,0.046967932703412894
lpd_unet_0_1,32.0,0.004049803537785016
lpd_unet_0_1,121.0,0.0138429568615
lpd_unet_0_1,17.6666666667,1.54582232881e-06
lpd_unet_0_1,23.0,0.004288265893976559
lpd_unet_0_1,113.75,0.0197062902153
lpd_unet_0_1,148.75,0.0300048086792
lpd_unet_0_1,201.75,0.0417001843452
lpd_unet_0_1,239.75,0.0734690651298
lpd_unet_0_1,289.5,0.034705542028
lpd_unet_0_1,248.0,0.0357305444777
lpd_unet_0_1,104.0,0.0224666576833
lpd_unet_0_1,94.0,1.2130676377579
lpd_unet_0_1,77.0,0.111732955835666
lpd_unet_0_1,211.0,23.39440063760155
lpd_unet_0_1,174.75,0.17015299201
lpd_unet_0_1,406.5,1.55237746239
lpd_unet_0_1,471.75,4.19764280319
lpd_unet_0_1,365.25,1.96617841721
lpd_unet_0_1,158.75,0.337375253439
lpd_unet_0_1,153.0,0.07211570876326667
lpd_unet_0_1,148.333333333,0.045367281884
lpd_unet_0_1,145.5,0.0352731049061
lpd_unet_0_1,140.5,0.0313476920128
lpd_unet_0_1,101.0,0.063826837111035
lpd_unet_0_1,141.0,1.75453916937085
lpd_unet_0_1,172.25,9.38297748566
lpd_unet_0_1,169.5,6.56223773956
lpd_unet_0_1,141.75,1.63327038288
lpd_unet_0_1,85.0,0.83377544581825
lpd_unet_0_1,59.0,1.7711447212809084
lpd_unet_0_1,12.0,0.0008237770452815075
lpd_unet_0_1,7.0,0.0009776384647918748
lpd_unet_0_1,14.0,0.008313029893701957
lpd_unet_0_1,27.0,0.015419169198684015
lpd_unet_0_1,99.3333333333,0.0284218378365
lpd_unet_0_1,135.666666667,0.0511320009828
lpd_unet_0_1,180.5,34.083787336945
lpd_unet_0_1,188.75,0.15987379849
lpd_unet_0_1,221.75,0.215223282576
lpd_unet_0_1,228.5,0.25020173192
lpd_unet_0_1,239.0,0.264727890491
lpd_unet_0_1,251.25,0.324988663197
lpd_unet_0_1,231.0,0.351384371519
lpd_unet_0_1,231.75,0.396902680397
lpd_unet_0_1,222.25,0.396055698395
lpd_unet_0_1,217.25,0.316958904266
lpd_unet_0_1,215.75,0.215138912201
lpd_unet_0_1,206.5,0.149331912398
lpd_unet_0_1,186.75,0.104597151279
lpd_unet_0_1,162.25,37.5025543943243
lpd_unet_0_1,146.75,0.0461828112602
lpd_unet_0_1,130.75,0.0355080366135
lpd_unet_0_1,33.0,0.01713924613080697
lpd_unet_0_1,18.25,0.00065511505818
lpd_unet_0_1,160.0,86.519228612227
lpd_unet_0_1,190.0,0.25009777303801
lpd_unet_0_1,245.0,0.588268280029
lpd_unet_0_1,181.0,0.337562814355
lpd_unet_0_1,210.5,63.235053986217004
lpd_unet_0_1,185.0,0.419663578272
lpd_unet_0_1,135.5,1.40546369553
lpd_unet_0_1,166.5,45.9929504395
lpd_unet_0_1,176.75,68.7713775635
lpd_unet_0_1,136.75,44.3083190918
lpd_unet_0_1,116.5,5.56864547729
lpd_unet_0_1,89.25,0.135732907802
lpd_unet_0_1,52.5,0.01207614177836
lpd_unet_0_1,40.5,0.0789249138907
lpd_unet_0_1,78.0,0.00441679218790139
lpd_unet_0_1,112.0,34.30725902320515
lpd_unet_0_1,122.0,0.043776399456
lpd_unet_0_1,134.0,0.0180366337299
lpd_unet_0_1,150.0,0.35580196976646666
lpd_unet_0_1,180.0,0.0317295566201
lpd_unet_0_1,186.0,0.018306502065518336
lpd_unet_0_1,202.0,0.039030123502
lpd_unet_0_1,194.0,0.0305343493819
lpd_unet_0_1,214.0,0.0314559787512
lpd_unet_0_1,54.5,0.00342248310335
lpd_unet_0_1,69.25,1.1661329506888
lpd_unet_0_1,83.25,0.00165782449767
lpd_unet_0_1,69.0,16.25098811746958
lpd_unet_0_1,38.0,0.005306361891094195
lpd_unet_0_1,54.0,0.14926956742987998
lpd_unet_0_1,95.5,83.6124305725
lpd_unet_0_1,161.0,68.3346764166862
lpd_unet_0_1,314.5,363.87097168
lpd_unet_0_1,351.0,263.312744141
lpd_unet_0_1,389.75,415.163452148
lpd_unet_0_1,247.714285714,439.40411377
lpd_unet_0_1,240.75,394.986663818
lpd_unet_0_1,237.555555556,21.9900474548
lpd_unet_0_1,242.1,373.137939453
lpd_unet_0_1,304.181818182,223.605529785
lpd_unet_0_1,297.909090909,243.104660034
lpd_unet_0_1,355.727272727,263.290466309
lpd_unet_0_1,311.636363636,323.662597656
lpd_unet_0_1,284.181818182,230.615814209
lpd_unet_0_1,219.272727273,180.556762695
lpd_unet_0_1,143.363636364,132.659576416
lpd_unet_0_1,127.285714286,78.1485977173
lpd_unet_0_1,67.4285714286,0.0599749162793
lpd_unet_0_1,58.5714285714,32.7402458191
lpd_unet_0_1,88.5,7.55002020014e-07
lpd_unet_0_1,35.0,0.00173858901083235
lpd_unet_0_1,10.0,0.0026711935306159462
lpd_unet_0_1,51.5,0.000107648964331
lpd_unet_0_1,86.0,14.411481118094237
lpd_unet_0_1,83.0,17.01876632962825
lpd_unet_0_1,82.0,9.039593525232752
lpd_unet_0_1,57.0,1.59921827231205
lpd_unet_0_1,15.0,0.007380017387886281
lpd_unet_0_1,20.0,0.0021644411440667932
lpd_unet_0_1,22.0,0.003650941939554989
lpd_unet_0_1,49.3333333333,2.1867684154149998e-05
lpd_unet_0_1,61.2,0.000161527350429
lpd_unet_0_1,48.0,0.016823364657498042
lpd_unet_0_1,44.3333333333,1.74187725861e-05
lpd_unet_0_1,130.0,89.2451477051
lpd_unet_0_1,195.0,73.85359815199453
lpd_unet_0_1,275.0,236.302017212
lpd_unet_0_1,249.0,94.72499185798
lpd_unet_0_1,57.25,17.0373382568
lpd_unet_0_1,179.0,105.743354797
lpd_unet_0_1,194.5,53.392131987078606
lpd_unet_0_1,4.0,0.0006163634963120186
lpd_unet_0_1,11.0,0.001994618636101542
lpd_unet_0_1,31.0,0.019159314339058167
lpd_unet_0_1,55.6666666667,0.0473978631198
lpd_unet_0_1,76.6666666667,0.234608113766
lpd_unet_0_1,95.3333333333,1.6558920145
lpd_unet_0_1,94.5,1.4859842062
lpd_unet_0_1,80.5,0.49971532076549996
lpd_unet_0_1,69.5,0.429693847895
lpd_unet_0_1,53.0,0.02932236483314
lpd_unet_0_1,41.5,0.0258438505916445
lpd_unet_0_1,24.5,0.01733771925920135
lpd_unet_0_1,49.5,0.06390401348483
lpd_unet_0_1,53.5,0.007571587106215
lpd_unet_0_1,87.0,3.5353885361244966
lpd_unet_0_1,2.0,0.000594121825998
lpd_unet_0_1,3.0,0.0006585579540114999
lpd_unet_0_1,9.0,0.001984702988023429
lpd_unet_0_1,92.0,0.522154595703
lpd_unet_0_1,88.0,0.159042298794
lpd_unet_0_1,116.0,9.126976216538807
lpd_unet_0_1,64.0,5.221314825108251
lpd_unet_0_1,37.0,0.00889149059426905
lpd_unet_0_1,25.0,2.2543698872608418
lpd_unet_0_1,8.0,0.006263259335664196
lpd_unet_0_1,220.25,68.6718673706
lpd_unet_0_1,434.5,251.152938843
lpd_unet_0_1,464.25,256.082580566
lpd_unet_0_1,356.5,192.029891968
lpd_unet_0_1,132.25,0.50380730629
lpd_unet_0_1,86.5,0.00432524131611
lpd_unet_0_1,119.0,12.544618626431177
lpd_unet_0_1,112.5,0.0077953338623
lpd_unet_0_1,140.0,0.00344662275165
lpd_unet_0_1,29.0,0.05947136598314991
lpd_unet_0_1,51.0,0.06974347438492196
lpd_unet_0_1,131.0,0.0
lpd_unet_0_1,212.25,0.0
lpd_unet_0_1,260.0,0.0
lpd_unet_0_1,341.25,0.0
lpd_unet_0_1,378.75,0.0
lpd_unet_0_1,400.5,0.0
lpd_unet_0_1,429.25,0.0
lpd_unet_0_1,454.75,0.0
lpd_unet_0_1,457.5,0.0
lpd_unet_0_1,447.0,0.0
lpd_unet_0_1,432.25,0.0
lpd_unet_0_1,400.0,0.0
