Modality,FP,Count
lpd_unet_0_1,0.41,564
lpd_unet_0_1,196.12,70
lpd_unet_0_1,391.83,19
lpd_unet_0_1,587.54,5
lpd_unet_0_1,783.25,11
lpd_unet_0_1,978.96,3
lpd_unet_0_1,1174.68,1
lpd_unet_0_1,1370.39,3
lpd_unet_0_1,1566.10,2
lpd_unet_0_1,1761.81,1
lpd_unet_0_2,0.41,586
lpd_unet_0_2,196.12,48
lpd_unet_0_2,391.83,12
lpd_unet_0_2,587.54,9
lpd_unet_0_2,783.25,7
lpd_unet_0_2,978.96,3
lpd_unet_0_2,1174.68,2
lpd_unet_0_2,1370.39,1
lpd_unet_0_2,1566.10,0
lpd_unet_0_2,1761.81,0
lpd_unet_0_3,0.41,537
lpd_unet_0_3,196.12,84
lpd_unet_0_3,391.83,23
lpd_unet_0_3,587.54,11
lpd_unet_0_3,783.25,8
lpd_unet_0_3,978.96,7
lpd_unet_0_3,1174.68,2
lpd_unet_0_3,1370.39,1
lpd_unet_0_3,1566.10,1
lpd_unet_0_3,1761.81,3
lpd_unet_0_4,0.41,511
lpd_unet_0_4,196.12,91
lpd_unet_0_4,391.83,37
lpd_unet_0_4,587.54,13
lpd_unet_0_4,783.25,9
lpd_unet_0_4,978.96,6
lpd_unet_0_4,1174.68,4
lpd_unet_0_4,1370.39,1
lpd_unet_0_4,1566.10,2
lpd_unet_0_4,1761.81,0
lpd_unet_0_5,0.41,572
lpd_unet_0_5,196.12,52
lpd_unet_0_5,391.83,14
lpd_unet_0_5,587.54,9
lpd_unet_0_5,783.25,8
lpd_unet_0_5,978.96,2
lpd_unet_0_5,1174.68,0
lpd_unet_0_5,1370.39,2
lpd_unet_0_5,1566.10,0
lpd_unet_0_5,1761.81,0
lpd_unet_0_6,0.41,573
lpd_unet_0_6,196.12,55
lpd_unet_0_6,391.83,20
lpd_unet_0_6,587.54,5
lpd_unet_0_6,783.25,9
lpd_unet_0_6,978.96,4
lpd_unet_0_6,1174.68,2
lpd_unet_0_6,1370.39,2
lpd_unet_0_6,1566.10,0
lpd_unet_0_6,1761.81,1
lpd_unet_0_7,0.41,535
lpd_unet_0_7,196.12,83
lpd_unet_0_7,391.83,27
lpd_unet_0_7,587.54,8
lpd_unet_0_7,783.25,11
lpd_unet_0_7,978.96,8
lpd_unet_0_7,1174.68,1
lpd_unet_0_7,1370.39,2
lpd_unet_0_7,1566.10,1
lpd_unet_0_7,1761.81,1
lpd_unet_0_8,0.41,571
lpd_unet_0_8,196.12,58
lpd_unet_0_8,391.83,19
lpd_unet_0_8,587.54,8
lpd_unet_0_8,783.25,6
lpd_unet_0_8,978.96,4
lpd_unet_0_8,1174.68,0
lpd_unet_0_8,1370.39,1
lpd_unet_0_8,1566.10,1
lpd_unet_0_8,1761.81,0
lpd_unet_0_9,0.41,517
lpd_unet_0_9,196.12,89
lpd_unet_0_9,391.83,39
lpd_unet_0_9,587.54,16
lpd_unet_0_9,783.25,9
lpd_unet_0_9,978.96,8
lpd_unet_0_9,1174.68,5
lpd_unet_0_9,1370.39,2
lpd_unet_0_9,1566.10,0
lpd_unet_0_9,1761.81,0
lpd_unet_1,0.41,594
lpd_unet_1,196.12,47
lpd_unet_1,391.83,19
lpd_unet_1,587.54,10
lpd_unet_1,783.25,8
lpd_unet_1,978.96,2
lpd_unet_1,1174.68,1
lpd_unet_1,1370.39,0
lpd_unet_1,1566.10,0
lpd_unet_1,1761.81,0
lpd_unet_sequential,0.41,452
lpd_unet_sequential,196.12,157
lpd_unet_sequential,391.83,36
lpd_unet_sequential,587.54,17
lpd_unet_sequential,783.25,8
lpd_unet_sequential,978.96,9
lpd_unet_sequential,1174.68,3
lpd_unet_sequential,1370.39,1
lpd_unet_sequential,1566.10,2
lpd_unet_sequential,1761.81,1
