Annotation,Modality,Value
large,sequential,0.0
large,0.1,-12.010349802559858
large,0.2,9.817333107134118
large,0.3,10.283098657272603
large,0.4,-6.3138673843501465
large,0.5,19.544772958937415
large,0.6,15.024042246111776
large,0.7,6.8178949949727325
large,0.8,14.831743188715052
large,0.9,-7.746147101997735
large,end-to-end,9.934734823829956
small,sequential,0.0
small,0.1,1.572955731273133
small,0.2,2.033465813869782
small,0.3,1.7213256745546062
small,0.4,1.5003959691022146
small,0.5,3.185303718040309
small,0.6,1.8380255132636378
small,0.7,-0.9800953628311504
small,0.8,2.0828576220652906
small,0.9,-1.2805553915851533
small,end-to-end,0.4189642613102862
