Modality,BCE_loss,Count
lpd_unet_0_1,0.00,614
lpd_unet_0_1,0.02,30
lpd_unet_0_1,0.04,10
lpd_unet_0_1,0.06,5
lpd_unet_0_1,0.08,4
lpd_unet_0_1,0.10,0
lpd_unet_0_1,0.12,3
lpd_unet_0_1,0.14,6
lpd_unet_0_1,0.16,3
lpd_unet_0_1,0.18,2
lpd_unet_0_2,0.00,603
lpd_unet_0_2,0.02,31
lpd_unet_0_2,0.04,14
lpd_unet_0_2,0.06,10
lpd_unet_0_2,0.08,1
lpd_unet_0_2,0.10,2
lpd_unet_0_2,0.12,3
lpd_unet_0_2,0.14,1
lpd_unet_0_2,0.16,6
lpd_unet_0_2,0.18,2
lpd_unet_0_3,0.00,593
lpd_unet_0_3,0.02,42
lpd_unet_0_3,0.04,15
lpd_unet_0_3,0.06,6
lpd_unet_0_3,0.08,4
lpd_unet_0_3,0.10,1
lpd_unet_0_3,0.12,2
lpd_unet_0_3,0.14,4
lpd_unet_0_3,0.16,5
lpd_unet_0_3,0.18,2
lpd_unet_0_4,0.00,603
lpd_unet_0_4,0.02,36
lpd_unet_0_4,0.04,13
lpd_unet_0_4,0.06,5
lpd_unet_0_4,0.08,2
lpd_unet_0_4,0.10,5
lpd_unet_0_4,0.12,2
lpd_unet_0_4,0.14,2
lpd_unet_0_4,0.16,1
lpd_unet_0_4,0.18,5
lpd_unet_0_5,0.00,599
lpd_unet_0_5,0.02,36
lpd_unet_0_5,0.04,18
lpd_unet_0_5,0.06,7
lpd_unet_0_5,0.08,3
lpd_unet_0_5,0.10,3
lpd_unet_0_5,0.12,0
lpd_unet_0_5,0.14,2
lpd_unet_0_5,0.16,6
lpd_unet_0_5,0.18,2
lpd_unet_0_6,0.00,596
lpd_unet_0_6,0.02,38
lpd_unet_0_6,0.04,20
lpd_unet_0_6,0.06,2
lpd_unet_0_6,0.08,5
lpd_unet_0_6,0.10,0
lpd_unet_0_6,0.12,3
lpd_unet_0_6,0.14,4
lpd_unet_0_6,0.16,2
lpd_unet_0_6,0.18,5
lpd_unet_0_7,0.00,592
lpd_unet_0_7,0.02,42
lpd_unet_0_7,0.04,17
lpd_unet_0_7,0.06,7
lpd_unet_0_7,0.08,4
lpd_unet_0_7,0.10,4
lpd_unet_0_7,0.12,2
lpd_unet_0_7,0.14,1
lpd_unet_0_7,0.16,3
lpd_unet_0_7,0.18,3
lpd_unet_0_8,0.00,584
lpd_unet_0_8,0.02,41
lpd_unet_0_8,0.04,22
lpd_unet_0_8,0.06,4
lpd_unet_0_8,0.08,6
lpd_unet_0_8,0.10,4
lpd_unet_0_8,0.12,2
lpd_unet_0_8,0.14,2
lpd_unet_0_8,0.16,3
lpd_unet_0_8,0.18,4
lpd_unet_0_9,0.00,587
lpd_unet_0_9,0.02,49
lpd_unet_0_9,0.04,15
lpd_unet_0_9,0.06,7
lpd_unet_0_9,0.08,2
lpd_unet_0_9,0.10,3
lpd_unet_0_9,0.12,3
lpd_unet_0_9,0.14,5
lpd_unet_0_9,0.16,4
lpd_unet_0_9,0.18,3
lpd_unet_1,0.00,594
lpd_unet_1,0.02,34
lpd_unet_1,0.04,24
lpd_unet_1,0.06,6
lpd_unet_1,0.08,4
lpd_unet_1,0.10,1
lpd_unet_1,0.12,3
lpd_unet_1,0.14,7
lpd_unet_1,0.16,3
lpd_unet_1,0.18,2
lpd_unet_sequential,0.00,608
lpd_unet_sequential,0.02,38
lpd_unet_sequential,0.04,16
lpd_unet_sequential,0.06,8
lpd_unet_sequential,0.08,3
lpd_unet_sequential,0.10,0
lpd_unet_sequential,0.12,4
lpd_unet_sequential,0.14,3
lpd_unet_sequential,0.16,2
lpd_unet_sequential,0.18,3
