Modality,Annotation Size,FN
lpd_unet_0_1,52.75,47.9996566772
lpd_unet_0_1,71.5,72.9965133667
lpd_unet_0_1,30.25,25.490135192849998
lpd_unet_0_1,30.3333333333,26.644385655700003
lpd_unet_0_1,28.0,27.145893414849997
lpd_unet_0_1,20.25,18.99754524231
lpd_unet_0_1,9.33333333333,15.9962539673
lpd_unet_0_1,26.0,28.109368801124997
lpd_unet_0_1,21.0,19.362506693068188
lpd_unet_0_1,24.0,22.750601577770002
lpd_unet_0_1,40.75,42.9939346313
lpd_unet_0_1,38.5,31.7984603882
lpd_unet_0_1,20.75,12.9912290573
lpd_unet_0_1,19.0,18.897742907216664
lpd_unet_0_1,6.0,5.566897535324
lpd_unet_0_1,16.0,15.854923915859999
lpd_unet_0_1,29.5,29.49997901915
lpd_unet_0_1,37.5,32.142426172866664
lpd_unet_0_1,17.0,17.213335800169997
lpd_unet_0_1,13.0,12.77621957992222
lpd_unet_0_1,52.0,46.945020357749996
lpd_unet_0_1,40.0,44.237576007825005
lpd_unet_0_1,80.0,72.66449228923334
lpd_unet_0_1,50.0,42.928125381466664
lpd_unet_0_1,19.6666666667,20.01759719847667
lpd_unet_0_1,29.1666666667,14.0
lpd_unet_0_1,45.25,47.9996166229
lpd_unet_0_1,63.0,60.300031026199996
lpd_unet_0_1,31.3333333333,30.999982833849998
lpd_unet_0_1,124.0,123.99961853
lpd_unet_0_1,114.0,127.50189971933332
lpd_unet_0_1,127.666666667,118.454452515
lpd_unet_0_1,203.0,140.49698638910002
lpd_unet_0_1,240.333333333,56.1660232544
lpd_unet_0_1,147.0,72.92695713020001
lpd_unet_0_1,50.6666666667,77.9670333862
lpd_unet_0_1,18.0,16.178141276041668
lpd_unet_0_1,56.5,58.9989585876
lpd_unet_0_1,97.0,89.95834350585
lpd_unet_0_1,146.5,60.9873809814
lpd_unet_0_1,107.5,57.9161567688
lpd_unet_0_1,48.3333333333,77.9875717163
lpd_unet_0_1,191.0,206.14133707669998
lpd_unet_0_1,208.0,83.4988708496
lpd_unet_0_1,47.0,51.39129562376
lpd_unet_0_1,32.0,30.66128317516667
lpd_unet_0_1,121.0,126.7511100765
lpd_unet_0_1,17.6666666667,23.9999732971
lpd_unet_0_1,23.0,23.89742679597
lpd_unet_0_1,113.75,119.935852051
lpd_unet_0_1,148.75,110.862365723
lpd_unet_0_1,201.75,276.782653809
lpd_unet_0_1,239.75,229.363006592
lpd_unet_0_1,289.5,204.790008545
lpd_unet_0_1,248.0,268.412322998
lpd_unet_0_1,104.0,50.9769439697
lpd_unet_0_1,94.0,93.6039772034
lpd_unet_0_1,77.0,77.12970123294
lpd_unet_0_1,211.0,184.909538269
lpd_unet_0_1,174.75,110.741973877
lpd_unet_0_1,406.5,344.0390625
lpd_unet_0_1,471.75,181.356613159
lpd_unet_0_1,365.25,204.085968018
lpd_unet_0_1,158.75,74.0573577881
lpd_unet_0_1,153.0,159.038075765
lpd_unet_0_1,148.333333333,108.883956909
lpd_unet_0_1,145.5,162.682769775
lpd_unet_0_1,140.5,176.789535522
lpd_unet_0_1,101.0,111.957702637
lpd_unet_0_1,141.0,140.71739196800002
lpd_unet_0_1,172.25,151.959899902
lpd_unet_0_1,169.5,162.848861694
lpd_unet_0_1,141.75,142.557922363
lpd_unet_0_1,85.0,95.59835052474999
lpd_unet_0_1,59.0,65.09710693358333
lpd_unet_0_1,12.0,11.6660516527
lpd_unet_0_1,7.0,7.2847881998328585
lpd_unet_0_1,14.0,12.191101932542999
lpd_unet_0_1,27.0,26.97883224487143
lpd_unet_0_1,99.3333333333,74.8315963745
lpd_unet_0_1,135.666666667,142.444900513
lpd_unet_0_1,180.5,167.51928329449999
lpd_unet_0_1,188.75,172.400238037
lpd_unet_0_1,221.75,139.806350708
