Modality,DICE,Count
0_1,0.00,489
0_1,0.10,37
0_1,0.20,32
0_1,0.30,30
0_1,0.40,29
0_1,0.50,37
0_1,0.60,19
0_1,0.70,11
0_1,0.80,2
0_2,0.00,519
0_2,0.10,27
0_2,0.20,24
0_2,0.30,20
0_2,0.40,23
0_2,0.50,27
0_2,0.60,27
0_2,0.70,15
0_2,0.80,4
0_3,0.00,502
0_3,0.10,30
0_3,0.20,26
0_3,0.30,26
0_3,0.40,30
0_3,0.50,32
0_3,0.60,24
0_3,0.70,15
0_3,0.80,1
0_4,0.00,501
0_4,0.10,32
0_4,0.20,32
0_4,0.30,24
0_4,0.40,22
0_4,0.50,36
0_4,0.60,23
0_4,0.70,14
0_4,0.80,2
0_5,0.00,471
0_5,0.10,30
0_5,0.20,42
0_5,0.30,30
0_5,0.40,31
0_5,0.50,25
0_5,0.60,42
0_5,0.70,14
0_5,0.80,1
0_6,0.00,463
0_6,0.10,32
0_6,0.20,45
0_6,0.30,30
0_6,0.40,30
0_6,0.50,40
0_6,0.60,29
0_6,0.70,17
0_6,0.80,0
0_7,0.00,494
0_7,0.10,22
0_7,0.20,36
0_7,0.30,23
0_7,0.40,23
0_7,0.50,34
0_7,0.60,33
0_7,0.70,20
0_7,0.80,1
0_8,0.00,437
0_8,0.10,45
0_8,0.20,52
0_8,0.30,26
0_8,0.40,39
0_8,0.50,30
0_8,0.60,36
0_8,0.70,20
0_8,0.80,1
0_9,0.00,458
0_9,0.10,30
0_9,0.20,38
0_9,0.30,32
0_9,0.40,35
0_9,0.50,30
0_9,0.60,31
0_9,0.70,29
0_9,0.80,3
1,0.00,421
1,0.10,43
1,0.20,46
1,0.30,23
1,0.40,33
1,0.50,27
1,0.60,39
1,0.70,44
1,0.80,10
sequential,0.00,534
sequential,0.10,30
sequential,0.20,24
sequential,0.30,22
sequential,0.40,26
sequential,0.50,25
sequential,0.60,17
sequential,0.70,8
sequential,0.80,0
