patient_index,Sensitivity,Specificity,DICE,C
LIDC-IDRI-0996,8.099174329529198e-07,0.9992309337637512,3.0751714000908513e-08,0_4
LIDC-IDRI-0997,1.106482501619298e-06,0.9996609476301288,8.781948977202801e-08,0_4
LIDC-IDRI-0998,0.04273895049296948,0.9986669703564244,0.0026059525083216486,0_4
LIDC-IDRI-0999,0.00024388175759634993,0.9998755753705153,1.7589434607770925e-05,0_4
LIDC-IDRI-1000,0.0933967296875227,0.9996784260775279,0.016099614774988485,0_4
LIDC-IDRI-1001,5.368971110444747e-07,0.9993059927322583,2.111334007654408e-08,0_4
LIDC-IDRI-1002,0.13158523517907605,0.9991359152597417,0.03308719491015048,0_4
LIDC-IDRI-1003,0.19955271163739155,0.9995488070137566,0.03451149536779277,0_4
LIDC-IDRI-1004,0.022495436035001398,0.999868929515595,0.0041431118808038375,0_4
LIDC-IDRI-1005,0.000312348553751703,0.9991703404296904,4.11865951524939e-05,0_4
LIDC-IDRI-1006,0.00015478420445458712,0.9997112790744771,5.934399386765876e-06,0_4
LIDC-IDRI-1007,0.35992017601353177,0.9996175270935075,0.03404278150704776,0_4
LIDC-IDRI-1008,9.925513270234409e-06,0.9997066344341562,6.89369239734417e-07,0_4
LIDC-IDRI-1009,2.2208079365238483e-06,0.9991097595529184,3.166434174322629e-07,0_4
LIDC-IDRI-1010,0.0004490662481827361,0.9998097891389075,6.839676693012005e-06,0_4
LIDC-IDRI-1011,0.36884083855394856,0.999596974258866,0.0633493602061582,0_4
LIDC-IDRI-0926,7.439065404632284e-06,0.9997817384571557,3.949476784244726e-07,0_5
LIDC-IDRI-0928,0.0006519956173160865,0.9997593259614381,2.4017578802422587e-05,0_5
LIDC-IDRI-0929,5.7351146753864134e-05,0.9996878721894074,1.6090505152847747e-06,0_5
LIDC-IDRI-0932,5.96758049425796e-09,0.9996873309734978,2.4700705655455436e-10,0_5
LIDC-IDRI-0933,0.10311680810853895,0.9994574286378444,0.011936263511071039,0_5
LIDC-IDRI-0935,0.14823220509935264,0.9991482238151285,0.013251226719209228,0_5
LIDC-IDRI-0936,0.16504994006774587,0.999894844518784,0.015835895928452238,0_5
LIDC-IDRI-0938,0.294540404916076,0.9996763358379502,0.007461749110546052,0_5
LIDC-IDRI-0939,0.004468564085767464,0.9998837986821093,0.0005797425534468651,0_5
LIDC-IDRI-0940,0.04840156160926533,0.9998713263958064,0.004028821598808653,0_5
LIDC-IDRI-0941,2.065028437003565e-05,0.9998909269092169,5.361021272574217e-07,0_5
LIDC-IDRI-0942,0.4745877477917291,0.9982959625784065,0.038797115309153654,0_5
LIDC-IDRI-0943,1.70758498972754e-05,0.9999481044308336,3.3598613828406626e-07,0_5
LIDC-IDRI-0944,3.024746828576503e-07,0.9988091777201676,1.205285788438319e-08,0_5
LIDC-IDRI-0945,0.6312198733137052,0.9997394940144874,0.011958179529903109,0_5
LIDC-IDRI-0946,0.5003987034482662,0.9988993875980641,0.009711873091091465,0_5
LIDC-IDRI-0947,0.0004875161300924411,0.9997872541037883,9.694833039423193e-05,0_5
LIDC-IDRI-0949,0.2787115482811807,0.9995409697308187,0.021400729139816364,0_5
LIDC-IDRI-0950,0.0001814630667909937,0.9998039195915487,4.420414995772065e-06,0_5
LIDC-IDRI-0951,0.07374132112101268,0.9997629014930414,0.001582336388052751,0_5
LIDC-IDRI-0953,0.019589769494628453,0.9998129483959979,0.0006037795807097475,0_5
LIDC-IDRI-0955,1.686273057491e-07,0.9999227578897777,3.9716248097171225e-09,0_5
LIDC-IDRI-0956,0.0005954149317287308,0.99986651264147,2.8497030139448447e-05,0_5
LIDC-IDRI-0957,7.55051938057782e-08,0.9989830573403721,1.8763201800701598e-09,0_5
LIDC-IDRI-0958,0.11740865721109306,0.9993479382495981,0.005409142122453111,0_5
LIDC-IDRI-0959,7.223087996199267e-05,0.9999422931332126,1.5736323644464346e-06,0_5
LIDC-IDRI-0961,0.002292485608458988,0.9996557440192257,0.00013488361569792743,0_5
LIDC-IDRI-0962,0.04408978762806535,0.9994306513145329,0.0028626974348285564,0_5
LIDC-IDRI-0963,2.6263663114970824e-05,0.9999272047922924,4.3354020112610345e-07,0_5
LIDC-IDRI-0965,0.31472452210836277,0.999539713318729,0.015760769625145502,0_5
LIDC-IDRI-0966,0.0004086678758670774,0.9999473608252071,2.325504507956744e-05,0_5
LIDC-IDRI-0968,0.2532252914093359,0.9993139956933409,0.027389918241081983,0_5
LIDC-IDRI-0969,0.00040546582242143644,0.9997924218665338,1.508302940018178e-05,0_5
LIDC-IDRI-0971,9.214835187026951e-09,0.9999098361259392,4.813805701913567e-10,0_5
LIDC-IDRI-0972,0.001617076759308153,0.999742026372325,0.00018813504019960027,0_5
LIDC-IDRI-0973,0.06508650175527372,0.9995322664815092,0.008659405983964117,0_5
LIDC-IDRI-0974,0.16859839681828612,0.9995440952953398,0.012794932880871744,0_5
LIDC-IDRI-0976,1.2863324050823327e-05,0.9997581725459308,1.4043918564225593e-06,0_5
LIDC-IDRI-0977,3.1095494206132065e-08,0.9998805160440972,5.033215812242371e-10,0_5
LIDC-IDRI-0978,0.03377164906362365,0.9992129513803697,0.009880372488291546,0_5
LIDC-IDRI-0980,0.1285326659549557,0.9995580576504985,0.008999713413084986,0_5
LIDC-IDRI-0981,0.006754024411585595,0.999490842829714,0.00016497055689617201,0_5
LIDC-IDRI-0982,0.12905778160225362,0.9998449175265556,0.009596936516982872,0_5
LIDC-IDRI-0983,0.0025070132357266953,0.9996292186578778,6.793604307328873e-05,0_5
LIDC-IDRI-0984,0.00029712247543850197,0.9999161434138805,9.6765278511367e-06,0_5
LIDC-IDRI-0985,4.552268490762237e-08,0.9996361987073231,4.405199309385048e-09,0_5
LIDC-IDRI-0986,0.41916413204615427,0.9989637492666518,0.012775856750705408,0_5
LIDC-IDRI-0987,0.001780746247832961,0.9998973893738833,0.00011979565733680164,0_5
LIDC-IDRI-0989,1.1149072357573953e-07,0.9992805427598138,3.8536668275305667e-10,0_5
LIDC-IDRI-0990,5.09670946032396e-05,0.9988780950159434,1.8124414018836857e-06,0_5
LIDC-IDRI-0991,7.577177472649613e-06,0.9998757797761598,5.7057047518972327e-08,0_5
LIDC-IDRI-0993,0.6447135105819434,0.9997236794693333,0.016553077802569476,0_5
LIDC-IDRI-0994,0.09163537931777951,0.9997713134306364,0.018350108909714214,0_5
LIDC-IDRI-0996,9.437051665126785e-07,0.9991034250459199,1.1093938491489367e-08,0_5
LIDC-IDRI-0997,1.3323189118008083e-05,0.9995945130320971,1.0849459241488844e-06,0_5
LIDC-IDRI-0998,0.03793972950933801,0.9986282492189785,0.0032201401075788987,0_5
LIDC-IDRI-0999,0.00030383175566953087,0.9998472880413958,1.9172238811856665e-05,0_5
LIDC-IDRI-1000,0.14060544859285082,0.9996570651704296,0.022818297117592732,0_5
LIDC-IDRI-1001,9.778770969420922e-07,0.9992793239387773,1.0021707188750323e-08,0_5
LIDC-IDRI-1002,0.1672844309550979,0.9990122875695299,0.041256963954307994,0_5
LIDC-IDRI-1003,0.28628703384559806,0.9994971153721233,0.048570504763364615,0_5
LIDC-IDRI-1004,0.02677353967739276,0.9998224464647519,0.004339217003815455,0_5
LIDC-IDRI-1005,0.04517660606776688,0.9990095198922183,0.0017070604474257061,0_5
LIDC-IDRI-1006,0.0004502869131091082,0.9994230746277699,6.163968580776917e-06,0_5
LIDC-IDRI-1007,0.33666664255137213,0.9995826860668336,0.03225085639350602,0_5
LIDC-IDRI-1008,0.0003532933081311088,0.9995951919246954,3.971607840394854e-05,0_5
LIDC-IDRI-1009,1.6848301839946214e-05,0.9990235511859026,2.3594094061864678e-06,0_5
LIDC-IDRI-1010,0.0019090118892734157,0.9997297672520873,2.8290408143262333e-05,0_5
LIDC-IDRI-1011,0.39298991102688124,0.9994674409356451,0.05972791945438458,0_5
LIDC-IDRI-0926,1.0909953206019968e-05,0.9997584409855553,5.773143029871252e-07,0_6
LIDC-IDRI-0928,0.0006732777978087013,0.9997929586768829,2.5562135650285452e-05,0_6
LIDC-IDRI-0929,0.00023475613628582423,0.999650426197691,5.853128444343755e-06,0_6
LIDC-IDRI-0932,2.3478965545921633e-09,0.9996427168032116,9.630944394710642e-11,0_6
LIDC-IDRI-0933,0.08516302019889309,0.9995651694873501,0.01048248181114467,0_6
LIDC-IDRI-0935,0.10670940157724833,0.9993588563012392,0.011392248493406665,0_6
LIDC-IDRI-0936,0.10170763570732366,0.9999274865576917,0.011370306373509434,0_6
LIDC-IDRI-0938,0.17858014498134828,0.9997660675453641,0.005545274018968935,0_6
LIDC-IDRI-0939,0.039705494317261204,0.999879431227267,0.00465026081364173,0_6
