Annotation,Modality,Value
large,sequential,0.0
large,0.1,6.127848607337949
large,0.2,5.164056267468508
large,0.3,6.030801261862257
large,0.4,4.933438347508156
large,0.5,7.832619200439739
large,0.6,8.802106423230388
large,0.7,7.2025752911824
large,0.8,7.368550209891716
large,0.9,8.219944904606297
large,end-to-end,9.196815891122478
small,sequential,0.0
small,0.1,0.8216917495151
small,0.2,1.0533407604618696
small,0.3,0.9639488966796999
small,0.4,0.7481642821524699
small,0.5,1.6495198343465696
small,0.6,0.9163245253089397
small,0.7,1.5272148353158197
small,0.8,2.3584449798256792
small,0.9,3.3530447766899294
small,end-to-end,4.41667787924195
