Modality,Annotation Size,FP
lpd_unet_0_1,52.75,1.18933582306
lpd_unet_0_1,71.5,1.04003024101
lpd_unet_0_1,30.25,23.571024358295
lpd_unet_0_1,30.3333333333,142.1183474859
lpd_unet_0_1,28.0,68.32580582302667
lpd_unet_0_1,20.25,17.7102627754
lpd_unet_0_1,9.33333333333,12.1687088013
lpd_unet_0_1,26.0,51.83724657447387
lpd_unet_0_1,21.0,90.82831109651909
lpd_unet_0_1,24.0,212.87988357546
lpd_unet_0_1,40.75,106.076156616
lpd_unet_0_1,38.5,59.133515739359595
lpd_unet_0_1,20.75,219.17250061
lpd_unet_0_1,19.0,54.180753866876664
lpd_unet_0_1,6.0,129.5307739436842
lpd_unet_0_1,16.0,80.46103507875041
lpd_unet_0_1,29.5,2.5714534670105
lpd_unet_0_1,37.5,51.35463651023333
lpd_unet_0_1,17.0,185.72852718826297
lpd_unet_0_1,13.0,38.68110707069889
lpd_unet_0_1,52.0,124.67671966565
lpd_unet_0_1,40.0,84.41615659002625
lpd_unet_0_1,80.0,132.67293930039997
lpd_unet_0_1,50.0,115.56126193202499
lpd_unet_0_1,19.6666666667,253.7289911906
lpd_unet_0_1,29.1666666667,391.316162109
lpd_unet_0_1,45.25,163.202305957753
lpd_unet_0_1,63.0,131.82347742719665
lpd_unet_0_1,31.3333333333,565.013504028
lpd_unet_0_1,124.0,331.578094482
lpd_unet_0_1,114.0,88.00303323059899
lpd_unet_0_1,127.666666667,254.636779785
lpd_unet_0_1,203.0,203.588096619
lpd_unet_0_1,240.333333333,277.572235107
lpd_unet_0_1,147.0,161.7182331083
lpd_unet_0_1,50.6666666667,419.953765869
lpd_unet_0_1,18.0,195.47793788205567
lpd_unet_0_1,56.5,1147.5612793
lpd_unet_0_1,97.0,338.1217651365
lpd_unet_0_1,146.5,23.961025238
lpd_unet_0_1,107.5,19.7275218964
lpd_unet_0_1,48.3333333333,0.669664204121
lpd_unet_0_1,191.0,85.63135782888999
lpd_unet_0_1,208.0,101.699996948
lpd_unet_0_1,47.0,69.24528179178
lpd_unet_0_1,32.0,61.964849710473324
lpd_unet_0_1,121.0,95.63847064957001
lpd_unet_0_1,17.6666666667,67.5425415039
lpd_unet_0_1,23.0,81.17802048017789
lpd_unet_0_1,113.75,80.9638442993
lpd_unet_0_1,148.75,110.678405762
lpd_unet_0_1,201.75,54.1317825317
lpd_unet_0_1,239.75,58.0831832886
lpd_unet_0_1,289.5,50.0680122375
lpd_unet_0_1,248.0,151.517776489
lpd_unet_0_1,104.0,33.748714447
lpd_unet_0_1,94.0,106.12890434245
lpd_unet_0_1,77.0,71.34425442228401
lpd_unet_0_1,211.0,19.9691887497825
lpd_unet_0_1,174.75,68.1960754395
lpd_unet_0_1,406.5,65.704284668
lpd_unet_0_1,471.75,116.619239807
lpd_unet_0_1,365.25,133.049804688
lpd_unet_0_1,158.75,115.024482727
lpd_unet_0_1,153.0,27.478423754366663
lpd_unet_0_1,148.333333333,46.806137085
lpd_unet_0_1,145.5,40.8580970764
lpd_unet_0_1,140.5,45.2705192566
lpd_unet_0_1,101.0,7.9909451305850006
lpd_unet_0_1,141.0,18.09610271455
lpd_unet_0_1,172.25,26.4890537262
lpd_unet_0_1,169.5,120.465530396
lpd_unet_0_1,141.75,150.542938232
lpd_unet_0_1,85.0,327.99655437585
lpd_unet_0_1,59.0,477.9558130098083
lpd_unet_0_1,12.0,46.602956155979
lpd_unet_0_1,7.0,34.073101861132855
lpd_unet_0_1,14.0,84.41669840811
lpd_unet_0_1,27.0,91.66481522164288
