PSNR_loss,BCE_loss,TP,FP,TN,FN,Sensitivity,Specificity,DICE,C
31.35187475861071,0.0031833653098507614,11.01362102965071,118.87088749282594,261957.1276449708,56.98953565134079,0.06710321363388337,0.9995463644880104,0.05197085147520784,0_1
31.168212829873752,0.003174069667578855,10.813523427688514,69.11310001523039,262007.9232213023,56.15265998509862,0.06290468623485611,0.9997362323162371,0.05428734158467556,0_2
31.032663136592696,0.0031659583092202227,10.107414965503747,73.62314151267924,262004.2350229213,56.03660744776604,0.061804329808371763,0.9997190412308123,0.05339342294685383,0_3
30.93332361224535,0.0035749411755284905,10.357271476359918,91.24976343828018,261985.6791735777,56.71598145315056,0.06232460115769878,0.9996517662320006,0.05123557680158153,0_4
30.799080477450527,0.0033218367713627336,13.152905232118,110.65147724087997,261966.01509033237,54.18232996928957,0.07815160031797092,0.9995777423787506,0.06024913232352252,0_5
30.549317584592494,0.0031703838595311677,10.73355161838256,86.23159438462231,261991.40251606898,55.63491476054953,0.06457042332094623,0.9996709321186479,0.05291717923314625,0_6
30.237950873135198,0.0030892018163320117,11.673106212141684,55.59346470763356,262020.7572077807,55.97895747121129,0.06341982849309116,0.999787837408029,0.059026082333215026,0_7
29.763524273255943,0.003239683615076033,15.368240543860935,131.4460875145625,261945.07987632186,52.106930911191775,0.0948757450820313,0.999498392784374,0.06733838377831369,0_8
28.549463625659122,0.0029087825760889573,14.305262206545013,71.12754534912581,262005.37865558494,53.19025016779093,0.0886787213380305,0.999728579687779,0.07728438174695614,0_9
16.670984262506366,0.0027629020877203074,16.844493062584153,110.82903333519744,261965.41833410494,50.9096057352845,0.10885511159981472,0.9995770962054494,0.08792071277247632,1
31.690488554736692,0.0029504488838806,8.896760223319239,115.77656685784315,261961.22369026506,58.10366966232298,0.05410034484172095,0.9995581754610118,0.043753933980056836,sequential
