Annotation,Modality,Value
small,sequential,-0.00044192217220874274
small,0.1,-0.0004537384357062397
small,0.2,-0.00026380247657657437
small,0.3,-0.0002809982454968532
small,0.4,-0.0003482944154580756
small,0.5,-0.00042234679710305775
small,0.6,-0.0003291220360679873
small,0.7,-0.00021218510163756633
small,0.8,-0.0005017330626109573
small,0.9,-0.00027145715338043554
small,end-to-end,-0.0004229932435800674
large,sequential,-0.000764385422534441
large,0.1,-0.0009063702216980546
large,0.2,-0.0006005159982233683
large,0.3,-0.0004969832791902984
large,0.4,-0.0006959097699248893
large,0.5,-0.0007400678055912416
large,0.6,-0.0005951575345513006
large,0.7,-0.0005167177737757454
large,0.8,-0.0010171899094306525
large,0.9,-0.0005664643559593124
large,end-to-end,-0.0008065474322499644
with,sequential,-0.0004173801625787229
with,0.1,-0.0004478698288552275
with,0.2,-0.0002563298383442014
with,0.3,-0.0002759804543551189
with,0.4,-0.00034239771136189163
with,0.5,-0.00042536160227735263
with,0.6,-0.0003307959263480153
with,0.7,-0.0002185879324016398
with,0.8,-0.0005187514637996982
with,0.9,-0.0002911883416232367
with,end-to-end,-0.0004559450814442315
without,sequential,-0.0004348101326933976
without,0.1,-0.00047030980759868327
without,0.2,-0.00026654405864884567
without,0.3,-0.00030781717072144024
without,0.4,-0.0003788066965357041
without,0.5,-0.0004483655574664858
without,0.6,-0.00042068074124798247
without,0.7,-0.00020774123581398325
without,0.8,-0.0005041400252134828
without,0.9,-0.0002458185809962396
without,end-to-end,-0.0003805309773467263
