Modality,TN,Count
lpd_unet_0_1,259756.17,2
lpd_unet_0_1,259993.46,2
lpd_unet_0_1,260230.74,0
lpd_unet_0_1,260468.02,7
lpd_unet_0_1,260705.31,12
lpd_unet_0_1,260942.59,10
lpd_unet_0_1,261179.88,54
lpd_unet_0_1,261417.16,94
lpd_unet_0_1,261654.45,171
lpd_unet_0_1,261891.73,334
lpd_unet_0_2,259756.17,0
lpd_unet_0_2,259993.46,0
lpd_unet_0_2,260230.74,3
lpd_unet_0_2,260468.02,2
lpd_unet_0_2,260705.31,8
lpd_unet_0_2,260942.59,13
lpd_unet_0_2,261179.88,41
lpd_unet_0_2,261417.16,83
lpd_unet_0_2,261654.45,134
lpd_unet_0_2,261891.73,394
lpd_unet_0_3,259756.17,1
lpd_unet_0_3,259993.46,0
lpd_unet_0_3,260230.74,1
lpd_unet_0_3,260468.02,3
lpd_unet_0_3,260705.31,4
lpd_unet_0_3,260942.59,16
lpd_unet_0_3,261179.88,32
lpd_unet_0_3,261417.16,87
lpd_unet_0_3,261654.45,137
lpd_unet_0_3,261891.73,396
lpd_unet_0_4,259756.17,1
lpd_unet_0_4,259993.46,3
lpd_unet_0_4,260230.74,1
lpd_unet_0_4,260468.02,1
lpd_unet_0_4,260705.31,8
lpd_unet_0_4,260942.59,27
lpd_unet_0_4,261179.88,49
lpd_unet_0_4,261417.16,71
lpd_unet_0_4,261654.45,140
lpd_unet_0_4,261891.73,379
lpd_unet_0_5,259756.17,2
lpd_unet_0_5,259993.46,1
lpd_unet_0_5,260230.74,2
lpd_unet_0_5,260468.02,4
lpd_unet_0_5,260705.31,9
lpd_unet_0_5,260942.59,28
lpd_unet_0_5,261179.88,43
lpd_unet_0_5,261417.16,86
lpd_unet_0_5,261654.45,146
lpd_unet_0_5,261891.73,364
lpd_unet_0_6,259756.17,0
lpd_unet_0_6,259993.46,0
lpd_unet_0_6,260230.74,2
lpd_unet_0_6,260468.02,5
lpd_unet_0_6,260705.31,7
lpd_unet_0_6,260942.59,20
lpd_unet_0_6,261179.88,43
lpd_unet_0_6,261417.16,84
lpd_unet_0_6,261654.45,145
lpd_unet_0_6,261891.73,370
lpd_unet_0_7,259756.17,0
lpd_unet_0_7,259993.46,0
lpd_unet_0_7,260230.74,0
lpd_unet_0_7,260468.02,2
lpd_unet_0_7,260705.31,8
lpd_unet_0_7,260942.59,12
lpd_unet_0_7,261179.88,49
lpd_unet_0_7,261417.16,81
lpd_unet_0_7,261654.45,131
lpd_unet_0_7,261891.73,391
lpd_unet_0_8,259756.17,1
lpd_unet_0_8,259993.46,2
lpd_unet_0_8,260230.74,2
lpd_unet_0_8,260468.02,6
lpd_unet_0_8,260705.31,10
lpd_unet_0_8,260942.59,36
lpd_unet_0_8,261179.88,52
lpd_unet_0_8,261417.16,76
lpd_unet_0_8,261654.45,159
lpd_unet_0_8,261891.73,339
lpd_unet_0_9,259756.17,0
lpd_unet_0_9,259993.46,0
lpd_unet_0_9,260230.74,1
lpd_unet_0_9,260468.02,4
lpd_unet_0_9,260705.31,5
lpd_unet_0_9,260942.59,17
lpd_unet_0_9,261179.88,40
lpd_unet_0_9,261417.16,87
lpd_unet_0_9,261654.45,149
lpd_unet_0_9,261891.73,376
lpd_unet_1,259756.17,0
lpd_unet_1,259993.46,3
lpd_unet_1,260230.74,3
lpd_unet_1,260468.02,3
lpd_unet_1,260705.31,6
lpd_unet_1,260942.59,20
lpd_unet_1,261179.88,44
lpd_unet_1,261417.16,89
lpd_unet_1,261654.45,184
lpd_unet_1,261891.73,333
lpd_unet_sequential,259756.17,1
lpd_unet_sequential,259993.46,0
lpd_unet_sequential,260230.74,3
lpd_unet_sequential,260468.02,3
lpd_unet_sequential,260705.31,8
lpd_unet_sequential,260942.59,11
lpd_unet_sequential,261179.88,37
lpd_unet_sequential,261417.16,91
lpd_unet_sequential,261654.45,173
lpd_unet_sequential,261891.73,359
