Annotation,Modality,Value
large,sequential,0.0
large,0.1,32.272221830184805
large,0.2,16.557150427012274
large,0.3,15.87733688377132
large,0.4,10.82236254106924
large,0.5,31.990844709586952
large,0.6,26.874425909966334
large,0.7,18.89355907776168
large,0.8,43.00771288277761
large,0.9,29.15194791851752
large,end-to-end,46.623413120201434
small,sequential,0.0
small,0.1,2.116860806331472
small,0.2,1.9167632043692748
small,0.3,1.2106547421845093
small,0.4,1.4605112530406785
small,0.5,4.256145008798761
small,0.6,1.8367913950633206
small,0.7,2.7763459888224453
small,0.8,6.471480320541698
small,0.9,5.408501983225772
small,end-to-end,7.947732839264914
