Modality,Sensitivity,Count
lpd_unet_0_1,0.00,488
lpd_unet_0_1,0.10,41
lpd_unet_0_1,0.20,26
lpd_unet_0_1,0.30,37
lpd_unet_0_1,0.40,29
lpd_unet_0_1,0.50,32
lpd_unet_0_1,0.60,10
lpd_unet_0_1,0.70,5
lpd_unet_0_1,0.80,12
lpd_unet_0_1,0.90,6
lpd_unet_0_2,0.00,532
lpd_unet_0_2,0.10,24
lpd_unet_0_2,0.20,17
lpd_unet_0_2,0.30,30
lpd_unet_0_2,0.40,20
lpd_unet_0_2,0.50,26
lpd_unet_0_2,0.60,13
lpd_unet_0_2,0.70,9
lpd_unet_0_2,0.80,13
lpd_unet_0_2,0.90,2
lpd_unet_0_3,0.00,514
lpd_unet_0_3,0.10,26
lpd_unet_0_3,0.20,30
lpd_unet_0_3,0.30,27
lpd_unet_0_3,0.40,33
lpd_unet_0_3,0.50,21
lpd_unet_0_3,0.60,12
lpd_unet_0_3,0.70,13
lpd_unet_0_3,0.80,8
lpd_unet_0_3,0.90,2
lpd_unet_0_4,0.00,501
lpd_unet_0_4,0.10,39
lpd_unet_0_4,0.20,28
lpd_unet_0_4,0.30,22
lpd_unet_0_4,0.40,37
lpd_unet_0_4,0.50,17
lpd_unet_0_4,0.60,17
lpd_unet_0_4,0.70,12
lpd_unet_0_4,0.80,9
lpd_unet_0_4,0.90,4
lpd_unet_0_5,0.00,467
lpd_unet_0_5,0.10,49
lpd_unet_0_5,0.20,31
lpd_unet_0_5,0.30,31
lpd_unet_0_5,0.40,23
lpd_unet_0_5,0.50,23
lpd_unet_0_5,0.60,20
lpd_unet_0_5,0.70,20
lpd_unet_0_5,0.80,13
lpd_unet_0_5,0.90,9
lpd_unet_0_6,0.00,474
lpd_unet_0_6,0.10,49
lpd_unet_0_6,0.20,27
lpd_unet_0_6,0.30,33
lpd_unet_0_6,0.40,35
lpd_unet_0_6,0.50,27
lpd_unet_0_6,0.60,17
lpd_unet_0_6,0.70,13
lpd_unet_0_6,0.80,5
lpd_unet_0_6,0.90,6
lpd_unet_0_7,0.00,501
lpd_unet_0_7,0.10,38
lpd_unet_0_7,0.20,27
lpd_unet_0_7,0.30,24
lpd_unet_0_7,0.40,31
lpd_unet_0_7,0.50,27
lpd_unet_0_7,0.60,14
lpd_unet_0_7,0.70,16
lpd_unet_0_7,0.80,6
lpd_unet_0_7,0.90,2
lpd_unet_0_8,0.00,438
lpd_unet_0_8,0.10,54
lpd_unet_0_8,0.20,31
lpd_unet_0_8,0.30,28
lpd_unet_0_8,0.40,28
lpd_unet_0_8,0.50,26
lpd_unet_0_8,0.60,29
lpd_unet_0_8,0.70,28
lpd_unet_0_8,0.80,18
lpd_unet_0_8,0.90,6
lpd_unet_0_9,0.00,463
lpd_unet_0_9,0.10,36
lpd_unet_0_9,0.20,40
lpd_unet_0_9,0.30,29
lpd_unet_0_9,0.40,32
lpd_unet_0_9,0.50,22
lpd_unet_0_9,0.60,24
lpd_unet_0_9,0.70,18
lpd_unet_0_9,0.80,19
lpd_unet_0_9,0.90,3
lpd_unet_1,0.00,428
lpd_unet_1,0.10,45
lpd_unet_1,0.20,30
lpd_unet_1,0.30,20
lpd_unet_1,0.40,31
lpd_unet_1,0.50,31
lpd_unet_1,0.60,30
lpd_unet_1,0.70,35
lpd_unet_1,0.80,20
lpd_unet_1,0.90,16
lpd_unet_sequential,0.00,536
lpd_unet_sequential,0.10,31
lpd_unet_sequential,0.20,17
lpd_unet_sequential,0.30,29
lpd_unet_sequential,0.40,22
lpd_unet_sequential,0.50,23
lpd_unet_sequential,0.60,7
lpd_unet_sequential,0.70,8
lpd_unet_sequential,0.80,12
lpd_unet_sequential,0.90,1
