Modality,Annotation Size,TN
lpd_unet_0_1,54.0,262038.53125
lpd_unet_0_1,95.5,261782.0703125
lpd_unet_0_1,161.0,261760.11979166666
lpd_unet_0_1,314.5,261604.78125
lpd_unet_0_1,351.0,261535.8125
lpd_unet_0_1,389.75,261479.359375
lpd_unet_0_1,247.714285714,261495.34375
lpd_unet_0_1,240.75,261344.796875
lpd_unet_0_1,237.555555556,261290.125
lpd_unet_0_1,242.1,260865.421875
lpd_unet_0_1,304.181818182,260692.578125
lpd_unet_0_1,297.909090909,260787.171875
lpd_unet_0_1,355.727272727,260817.71875
lpd_unet_0_1,311.636363636,260849.875
lpd_unet_0_1,284.181818182,261061.65625
lpd_unet_0_1,219.272727273,261265.984375
lpd_unet_0_1,143.363636364,261503.40625
lpd_unet_0_1,127.285714286,261715.78125
lpd_unet_0_1,67.4285714286,261863.953125
lpd_unet_0_1,58.5714285714,262027.859375
lpd_unet_0_1,88.5,262024.125
lpd_unet_0_1,35.0,262020.35677083334
lpd_unet_0_1,10.0,262089.11607142858
lpd_unet_0_1,51.5,262095.46875
lpd_unet_0_1,86.0,261987.49479166666
lpd_unet_0_1,83.0,261993.34375
lpd_unet_0_1,82.0,262025.0
lpd_unet_0_1,57.0,262022.578125
lpd_unet_0_1,15.0,262032.53725961538
lpd_unet_0_1,20.0,262074.72222222222
lpd_unet_0_1,22.0,262020.962890625
lpd_unet_0_1,49.3333333333,261873.484375
lpd_unet_0_1,61.2,262070.5625
lpd_unet_0_1,48.0,262080.625
lpd_unet_0_1,44.3333333333,262092.3125
lpd_unet_0_1,130.0,261690.296875
lpd_unet_0_1,195.0,261530.21875
lpd_unet_0_1,275.0,261100.140625
lpd_unet_0_1,249.0,261470.8828125
lpd_unet_0_1,57.25,262052.671875
lpd_unet_0_1,179.0,261843.0
lpd_unet_0_1,194.5,261798.6953125
lpd_unet_0_1,4.0,262117.544921875
lpd_unet_0_1,11.0,262044.8013392857
lpd_unet_0_1,31.0,262014.34114583334
lpd_unet_0_1,55.6666666667,262062.828125
lpd_unet_0_1,76.6666666667,262066.6875
lpd_unet_0_1,95.3333333333,262000.15625
lpd_unet_0_1,94.5,261997.484375
lpd_unet_0_1,80.5,261824.4765625
lpd_unet_0_1,69.5,262032.84375
lpd_unet_0_1,53.0,261927.3125
lpd_unet_0_1,41.5,262108.078125
lpd_unet_0_1,24.5,262089.390625
lpd_unet_0_1,49.5,262078.875
lpd_unet_0_1,53.5,262066.4296875
lpd_unet_0_1,87.0,262036.63541666666
lpd_unet_0_1,2.0,262109.6640625
lpd_unet_0_1,3.0,262116.7109375
lpd_unet_0_1,9.0,262072.9765625
lpd_unet_0_1,92.0,261989.328125
lpd_unet_0_1,88.0,262032.453125
lpd_unet_0_1,116.0,262000.71875
lpd_unet_0_1,64.0,262034.59765625
lpd_unet_0_1,37.0,261964.82291666666
lpd_unet_0_1,25.0,262020.75852272726
lpd_unet_0_1,8.0,262063.47544642858
lpd_unet_0_1,220.25,261848.9375
lpd_unet_0_1,434.5,261627.90625
lpd_unet_0_1,464.25,261477.25
lpd_unet_0_1,356.5,261566.5625
lpd_unet_0_1,132.25,261969.671875
lpd_unet_0_1,86.5,262044.40625
lpd_unet_0_1,119.0,261949.80859375
lpd_unet_0_1,112.5,262056.140625
lpd_unet_0_1,140.0,261996.859375
lpd_unet_0_1,29.0,262025.00669642858
lpd_unet_0_1,51.0,262080.3671875
lpd_unet_0_1,131.0,261975.9375
lpd_unet_0_1,212.25,261528.5625
lpd_unet_0_1,260.0,261433.609375
lpd_unet_0_1,341.25,261379.609375
lpd_unet_0_1,378.75,261487.421875
lpd_unet_0_1,400.5,261611.984375
lpd_unet_0_1,429.25,261591.65625
lpd_unet_0_1,454.75,261528.09375
lpd_unet_0_1,457.5,261469.984375
lpd_unet_0_1,447.0,261621.3125
lpd_unet_0_1,432.25,261468.578125
lpd_unet_0_1,400.0,261243.84375
lpd_unet_0_1,367.75,260558.84375
lpd_unet_0_1,305.0,261359.2265625
lpd_unet_0_1,213.5,261538.359375
lpd_unet_0_1,109.5,261676.125
lpd_unet_0_1,5.0,262124.91145833334
lpd_unet_0_1,16.5,262088.87109375
lpd_unet_0_1,11.5,262101.875
lpd_unet_0_1,41.0,261987.865625
lpd_unet_0_1,61.3333333333,261900.85416666666
