Annotation,Modality,Value
large,sequential,0.0
large,0.1,37.11582250613495
large,0.2,-42.874955845632144
large,0.3,-69.96639064331904
large,0.4,-17.938708793992475
large,0.5,-6.400890500711199
large,0.6,-44.28771277121402
large,0.7,-64.8007520578353
large,0.8,66.08814041710835
large,0.9,-51.78312190953358
large,end-to-end,11.005811006565153
small,sequential,0.0
small,0.1,3.094320634982779
small,0.2,-46.66346684261278
small,0.3,-42.153425345163924
small,0.4,-24.52680341956298
small,0.5,-5.1250896169632085
small,0.6,-29.544972473220852
small,0.7,-60.183102150209606
small,0.8,15.669520656719328
small,0.9,-44.649021508717354
small,end-to-end,-4.9475335226457275
