Annotation,Modality,Value
large,sequential,0.0
large,0.1,-0.7822858904238714
large,0.2,-0.9332316001880727
large,0.3,-0.9947030528104079
large,0.4,-1.080031876269402
large,0.5,-1.1810756521076904
large,0.6,-1.4400024223498455
large,0.7,-1.6626990142883216
large,0.8,-2.1937919442228697
large,0.9,-3.401844269424103
large,end-to-end,-14.86683899160283
small,sequential,0.0
small,0.1,-0.33861379612597986
small,0.2,-0.5222757248629364
small,0.3,-0.6578254181439931
small,0.4,-0.7571649424913396
small,0.5,-0.8914080772861617
small,0.6,-1.1411709701441985
small,0.7,-1.4525376816014877
small,0.8,-1.9269642814807462
small,0.9,-3.1410249290775702
small,end-to-end,-15.019504292230323
