Annotation,sequential,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,end-to-end
small,261961.22369026503,261957.1276449708,262007.9232213023,262004.2350229213,261985.6791735777,261966.0150903324,261991.40251606895,262020.7572077807,261945.07987632183,262005.3786555849,261965.4183341049
large,261520.4499336137,261475.67680747283,261539.9844084132,261577.9371821413,261532.5142011448,261515.5330581339,261546.52620776795,261569.85449418263,261443.84577989872,261556.79209046147,261501.0655846319
with,261929.75018914437,261920.45788328387,261969.84422157024,261967.36151251348,261949.48074829293,261926.36780150587,261951.96809069943,261980.22823302943,261902.2247147202,261962.06716972063,261918.72548616104
without,262030.04274047408,262020.7419001918,262074.13877697283,262063.32201902027,262044.71879595297,262026.49154202171,262033.7460328391,262089.54969887977,262011.87738724853,262079.56983099328,262044.26624030675
