Annotation,Modality,Value
large,sequential,0.0
large,0.1,-44.77312614087714
large,0.2,19.53447479949682
large,0.3,57.4872485275846
large,0.4,12.064267531095538
large,0.5,-4.916875479801092
large,0.6,26.076274154242128
large,0.7,49.40456056891708
large,0.8,-76.60415371498675
large,0.9,36.34215684776427
large,end-to-end,-19.384348981810035
small,sequential,0.0
small,0.1,-4.096045294223586
small,0.2,46.69953103727312
small,0.3,43.011332656256855
small,0.4,24.455483312660363
small,0.5,4.7914000673627015
small,0.6,30.178825803886866
small,0.7,59.53351751566515
small,0.8,-16.143813943199348
small,0.9,44.154965319874464
small,end-to-end,4.194643839873606
